timestamp,close,high,low,trade_count,open,volume,vwap
2025-04-15 04:12:00-04:00,94.84,95.04,94.79,153,94.98,7566,94.923401
2025-04-15 04:33:00-04:00,94.87,94.91,94.68,58,94.78,4253,94.777991
2025-04-15 04:54:00-04:00,94.74,94.9,94.7,115,94.79,6706,94.786535
2025-04-15 05:15:00-04:00,94.91,94.96,94.59,207,94.69,20145,94.683323
2025-04-15 05:36:00-04:00,94.67,94.89,94.6,55,94.88,4366,94.683051
2025-04-15 05:57:00-04:00,94.7,94.78,94.65,68,94.67,3267,94.712522
2025-04-15 06:18:00-04:00,94.7,94.77,94.7,34,94.74,1997,94.741565
2025-04-15 06:39:00-04:00,94.44,94.72,94.24,184,94.72,8851,94.463083
2025-04-15 07:00:00-04:00,94.22,94.56,94.19,98,94.56,5841,94.280232
2025-04-15 07:21:00-04:00,94.31,94.36,94.12,199,94.21,9542,94.243134
2025-04-15 07:42:00-04:00,94.1299,95.05,93.75,1431,94.34,69844,94.178565
2025-04-15 08:03:00-04:00,93.8,94.2,93.77,488,94.1298,25712,94.037935
2025-04-15 08:24:00-04:00,93.97,94.0899,93.75,415,93.87,22897,93.863529
2025-04-15 08:45:00-04:00,94.29,94.4,93.86,562,94.0308,28026,94.18605
2025-04-15 09:06:00-04:00,94.49,94.5,94.2646,866,94.31,54690,94.419491
2025-04-15 09:27:00-04:00,95.87,95.96,94.49,24631,94.5,2405119,95.51432
2025-04-15 09:48:00-04:00,96.425,96.45,95.52,20821,95.875,1884347,96.035404
2025-04-15 10:09:00-04:00,95.1,96.82,94.8997,30622,96.425,2849505,95.916507
2025-04-15 10:30:00-04:00,95.43,96.1,95.0901,16650,95.111,1575919,95.541575
