symbol,company_name,float,price,volume,percent_change,dollar_volume,day_range,timestamp,trades,avg_volume_5d,avg_range_5d,volume_surge_detected,volume_surge_ratio
SVCO,Silvaco Group,8985508,4.7,96954,-3.29218106995885,455683.8,0.29,2025-11-12T00:00:00-05:00,,115311.2,0.3649,False,
JAKK,JAKKS Pacific,8985872,16.98,145203,-0.0588581518540201,2465546.94,0.540000000000003,2025-11-12T00:00:00-05:00,,155464.6,0.578,False,
CPSS,Consumer Portfolio Services,8998145,8.07,16945,1.50943396226415,136746.15,0.460000000000001,2025-11-12T00:00:00-05:00,,28441.2,0.445180000000001,False,
RDCM,Radcom,9046709,13.32,256767,5.13022888713497,3420136.44,1.608,2025-11-12T00:00:00-05:00,,73313,0.73122,False,
FINW,FinWise Bancorp,9070357,19.06,6105,0.899947061937523,116361.3,0.356200000000001,2025-11-12T00:00:00-05:00,,11107,0.777219999999999,False,
LESL,Leslie's,9085898,3.14,205662,2.95081967213116,645778.68,0.26,2025-11-12T00:00:00-05:00,,145747,0.28628,False,
TTRX,Turn Therapeutics,9100973,4.4,84886,13.4020618556701,373498.4,0.4699,2025-11-12T00:00:00-05:00,,80460.2,0.46244,False,
FORA,Forian,9121819,2.15,31661,-1.37614678899084,68071.15,0.0514000000000001,2025-11-12T00:00:00-05:00,,16154.4,0.05768,False,
PKOH,Park-Ohio Holdings,9194628,19.99,19221,1.98979591836733,384227.79,0.441600000000001,2025-11-12T00:00:00-05:00,,36081.2,0.942360000000001,False,
RANG,Range Capital Acquisition,9265345,10.53,0,0,0,0,2025-11-12T00:00:00-05:00,,1035.2,0,False,
NEPH,Nephros,9266574,4.56,75441,5.31177829099306,344010.96,0.4213,2025-11-12T00:00:00-05:00,,101963.2,0.66492,False,
ANNA,AleAnna,9387147,3.45,7828,9.52380952380953,27006.6,0.21,2025-11-12T00:00:00-05:00,,3454.8,0.117,False,
RNAC,Cartesian Therapeutics,9391982,7.58,67432,3.83561643835617,511134.56,0.539899999999999,2025-11-12T00:00:00-05:00,,128121.2,0.95596,False,
MCFT,MasterCraft Boat Holdings,9412971,19,227550,-0.809188201513971,4323450,0.708000000000002,2025-11-12T00:00:00-05:00,,234880.8,1.13822,False,
GOCO,GoHealth,9419699,3.44,67015,0.584795321637427,230531.6,0.13,2025-11-12T00:00:00-05:00,,40280.6,0.147,False,
