timestamp,close,high,low,trade_count,open,volume,vwap
2026-03-05 04:12:00-05:00,262.27,262.95,262.26,221,262.8,7232,262.569618
2026-03-05 04:33:00-05:00,261.85,262.2,261.85,133,262.2,3041,262.049792
2026-03-05 04:54:00-05:00,262.08,262.08,261.75,214,261.87,12883,261.902261
2026-03-05 05:15:00-05:00,261.72,262.13,261.7,204,262.13,9693,261.857295
2026-03-05 05:36:00-05:00,261.58,261.8,261.58,75,261.75,2373,261.700524
2026-03-05 05:57:00-05:00,262.3,262.3,261.65,168,261.82,7463,262.008428
2026-03-05 06:18:00-05:00,263.0,263.51,262.29,829,262.29,43397,263.02392
2026-03-05 06:39:00-05:00,262.61,263.55,262.59,475,262.9,17993,263.271748
2026-03-05 07:00:00-05:00,262.7,262.86,262.21,420,262.84,12571,262.530649
2026-03-05 07:21:00-05:00,262.17,262.69,262.0,349,262.6,13888,262.41951
2026-03-05 07:42:00-05:00,261.76,263.37,261.15,5439,262.02,109268,262.081935
2026-03-05 08:03:00-05:00,262.1654,262.22,261.51,791,261.6,31253,261.872831
2026-03-05 08:24:00-05:00,262.21,262.4,261.83,615,262.0,788838,262.127583
2026-03-05 08:45:00-05:00,261.78,262.5,261.69,1025,262.15,36537,262.126109
2026-03-05 09:06:00-05:00,261.94,262.2,261.6,1401,261.669,52924,261.905864
2026-03-05 09:27:00-05:00,259.85,261.99,259.06,66136,261.9899,3217896,260.374831
2026-03-05 09:48:00-05:00,258.93,260.2845,258.86,69488,259.88,2719865,259.555487
2026-03-05 10:09:00-05:00,258.87,259.7,258.54,58040,258.9201,2302545,258.955536
2026-03-05 10:30:00-05:00,260.79,260.84,258.075,48571,258.895,1947587,259.469514
