symbol,timestamp,last_price,ema_spread_pct,price_category,macd_histogram,market_session,squeeze_number_today,minutes_since_last_squeeze,window_volume_vs_1min_avg,distance_from_vwap_percent,day_gain,spy_percent_change_concurrent,spread_percent
RADX,2025-12-15T08:38:46.322879-05:00,14.44,-0.6925207756232663,$10-20,-0.174,extended,17,2.79,140.35,-2.16,244.13145539906105,,0.9002770083102548
FEBO,2025-12-15T10:16:51.701755-05:00,1.02,,<$2,,early,8,1.36,155.34,-7.66,25.581395348837223,-0.05,0.980392156862746
NTCL,2025-12-15T11:57:53.270981-05:00,0.87,-2.2988505747126458,<$2,-0.0062,mid_day,34,6.75,35.47,-1.63,29.728924635090852,-0.12,1.1724137931034466
KYTX,2025-12-15T10:49:46.254753-05:00,11.4854,0.0,$10-20,-0.0344,early,44,0.53,213.95,1.38,27.5626423690205,-0.38,0.6094694133421585
AMCI,2025-12-15T12:23:06.532229-05:00,7.63,-0.5242463958060293,$5-10,0.0723,mid_day,145,2.67,443.37,2.01,152.7027027027027,-0.55,0.5242463958060293
RADX,2025-12-15T09:30:17.790418-05:00,13.94,-0.1434720229555206,$10-20,-0.0433,early,31,7.29,385.45,0.0,232.3943661971831,,2.15208034433286
CGC,2025-12-15T08:51:34.153695-05:00,1.94,1.0309278350515474,<$2,0.0049,extended,1,,47.6,0.05,11.584033130104682,0.08,1.546391752577321
AMCI,2025-12-15T12:01:52.086803-05:00,7.54,-0.3978779840848721,$5-10,-0.0759,mid_day,133,0.95,669.76,-1.14,155.74324324324326,-0.55,0.39787798408488395
RADX,2025-12-15T08:28:39.046142-05:00,16.12,1.2406947890818814,$10-20,0.0023,extended,9,0.82,760.55,4.59,272.3004694835681,,1.4267990074441823
AMCI,2025-12-15T11:49:18.954013-05:00,8.1896,2.19790954381166,$5-10,-0.0545,mid_day,126,0.54,632.42,0.58,173.3108108108108,-0.61,0.3663182573019361
AMCI,2025-12-15T10:19:29.746730-05:00,6.7,,$5-10,,early,36,0.5,434.42,0.65,138.85135135135135,-0.57,0.7462686567164152
MASK,2025-12-15T11:05:30.422622-05:00,0.5238,0.0,<$2,0.0007,mid_day,29,8.5,79.1,-0.54,74.32657133355502,-0.27,2.0427644138984427
AMCI,2025-12-15T11:25:09.492296-05:00,6.939,0.4323389537397355,$5-10,-0.0136,mid_day,100,0.93,519.05,-2.21,136.6554054054054,-0.31,0.28822596915982795
KYTX,2025-12-15T10:49:14.532019-05:00,11.5341,0.0,$10-20,-0.0344,early,43,18.29,204.81,1.81,30.63781321184512,-0.43,0.953693829600933
MASK,2025-12-15T12:05:26.611327-05:00,0.4845,-2.063983488132097,<$2,-0.0029,mid_day,42,1.2,44.29,2.07,56.56800798137678,-0.37,0.9287925696594436
RYM,2025-12-15T11:01:36.942709-05:00,26.2,1.6030534351145105,$20-40,0.0911,mid_day,2,4.11,28.2,2.15,13.284703801945177,-0.56,1.259541984732818
AMCI,2025-12-15T10:34:07.134871-05:00,6.87,1.6011644832605576,$5-10,,early,55,0.63,453.15,3.37,122.97297297297295,-0.51,0.5822416302765653
AMCI,2025-12-15T12:09:26.225561-05:00,7.44,-4.166666666666661,$5-10,-0.0695,mid_day,141,0.74,676.38,3.19,145.63513513513516,-0.55,0.4032258064516162
RADX,2025-12-15T10:22:28.711267-05:00,11.05,-0.7239819004524893,$10-20,,early,66,0.66,101.68,2.42,153.1737089201878,,1.3574660633484195
RADX,2025-12-15T11:01:02.858484-05:00,11.4599,4.101257428075295,$10-20,0.0666,mid_day,92,0.74,125.39,2.54,168.34741784037558,,1.0471295561043223
ARTV,2025-12-15T10:33:19.793824-05:00,4.91,2.4439918533604907,$2-5,0.0244,early,16,1.36,163.63,2.13,46.06060606060608,-0.27,0.8146639511201635
YCBD,2025-12-15T09:55:44.719428-05:00,1.38,-0.724637681159421,<$2,-0.0011,early,10,7.86,181.37,1.68,18.421052631578966,-0.33,0.7246376811594049
BDRX,2025-12-15T11:40:38.971698-05:00,5.8899,0.0,$5-10,-0.0146,mid_day,29,9.61,48.69,0.08,23.280000000000005,-0.51,1.6978216947656097
AMCI,2025-12-15T12:06:17.842432-05:00,6.88,-4.796511627906978,$5-10,-0.1693,mid_day,138,0.81,748.45,-0.79,130.74324324324326,-0.53,0.8720930232558082
KYTX,2025-12-15T09:33:28.419283-05:00,11.6599,-0.17152805770203494,$10-20,-0.0812,early,24,1.42,301.1,-1.43,33.371298405466995,0.0,0.7718762596591725
BDRX,2025-12-15T09:16:50.996713-05:00,6.831,0.2927829014785604,$5-10,,extended,5,9.78,0.66,24.38,14.947368421052632,0.12,0.8783487044356553
AMCI,2025-12-15T10:32:29.157726-05:00,6.59,3.0349013657056174,$5-10,,early,52,1.43,941.37,-2.33,131.08445945945945,-0.55,0.6069802731411235
GLSI,2025-12-15T09:35:58.839124-05:00,13.2847,0.0,$10-20,0.0491,early,12,1.89,91.04,-1.76,25.349487418452927,-0.06,3.9895518905206693
RADX,2025-12-15T09:30:55.770925-05:00,13.75,-0.14545454545454234,$10-20,-0.0433,early,32,0.63,359.78,-1.36,225.5868544600939,,1.30909090909092
YCBD,2025-12-15T09:29:40.772693-05:00,1.49,0.0,<$2,0.0049,extended,3,4.19,229.66,2.87,27.192982456140356,0.08,0.671140939597316
MASK,2025-12-15T10:04:45.018431-05:00,0.551,1.8148820326678579,<$2,-0.0031,early,11,3.06,291.71,-0.4,83.67143332224808,-0.29,0.5989110707804138
FEBO,2025-12-15T10:14:25.833996-05:00,1.21,,<$2,,early,5,0.57,162.3,-3.39,43.02325581395349,0.03,0.8264462809917362
MASK,2025-12-15T10:28:55.564482-05:00,0.4954,-2.018570851836901,<$2,0.001,early,22,4.94,110.51,0.29,61.62287994679081,-0.54,1.0900282599919289
AMCI,2025-12-15T11:24:13.719851-05:00,7.13,0.1402524544179493,$5-10,0.0143,mid_day,99,1.51,516.2,1.67,136.6554054054054,-0.29,0.4207573632538604
RADX,2025-12-15T12:06:10.595409-05:00,11.85,2.278481012658239,$10-20,0.1194,mid_day,118,0.57,197.85,1.83,171.09624413145542,,0.8438818565400814
