timestamp,symbol,high,low,close,volume,trade_count,vwap
2025-07-17 09:30:00,BSLK,4.34,4.03,4.2199,1031919,5884,4.174283
2025-07-17 09:31:00,BSLK,4.2206,3.5,3.66,1540906,8685,3.82426
2025-07-17 09:32:00,BSLK,3.75,3.56,3.639,797684,4319,3.643314
2025-07-17 09:33:00,BSLK,3.67,3.53,3.5895,582937,2848,3.595541
2025-07-17 09:34:00,BSLK,3.75,3.55,3.59,758173,3421,3.652685
2025-07-17 09:35:00,BSLK,3.66,3.54,3.575,358140,1841,3.589775
2025-07-17 09:36:00,BSLK,3.68,3.51,3.6268,344134,2004,3.586483
2025-07-17 09:37:00,BSLK,3.77,3.5701,3.715,465662,2494,3.675522
2025-07-17 09:38:00,BSLK,3.74,3.56,3.661,356782,2001,3.643056
2025-07-17 09:39:00,BSLK,3.67,3.58,3.6552,181196,949,3.626721
2025-07-17 09:40:00,BSLK,3.6688,3.32,3.4402,877251,5077,3.426376
2025-07-17 09:41:00,BSLK,3.5099,3.3901,3.4005,268007,1554,3.447664
2025-07-17 09:42:00,BSLK,3.47,3.35,3.47,267839,1554,3.40492
2025-07-17 09:43:00,BSLK,3.48,3.37,3.38,191200,1047,3.414587
2025-07-17 09:44:00,BSLK,3.4,3.27,3.3301,348809,1888,3.320558
2025-07-17 09:45:00,BSLK,3.4,3.315,3.395,235960,1306,3.351198
