timestamp,symbol,high,low,close,volume,trade_count,vwap
2025-07-17 09:30:00,UPXI,8.36,7.64,7.64,707050,1223,8.113697
2025-07-17 09:31:00,UPXI,7.8013,7.635,7.675,148722,879,7.696705
2025-07-17 09:32:00,UPXI,7.8,7.6,7.665,147947,661,7.686245
2025-07-17 09:33:00,UPXI,7.6845,7.5,7.53,141567,669,7.567844
2025-07-17 09:34:00,UPXI,7.5391,7.32,7.44,272751,859,7.433231
2025-07-17 09:35:00,UPXI,7.47,7.11,7.17,227164,751,7.234434
2025-07-17 09:36:00,UPXI,7.4296,7.13,7.3853,160396,532,7.313569
2025-07-17 09:37:00,UPXI,7.6,7.345,7.4733,160062,548,7.484469
2025-07-17 09:38:00,UPXI,7.545,7.4256,7.5099,158599,418,7.486686
2025-07-17 09:39:00,UPXI,7.565,7.43,7.565,83813,461,7.493152
2025-07-17 09:40:00,UPXI,7.5774,7.3683,7.4698,130508,441,7.440514
2025-07-17 09:41:00,UPXI,7.475,7.3502,7.375,129922,327,7.413442
2025-07-17 09:42:00,UPXI,7.39,7.3,7.3299,102524,374,7.342723
2025-07-17 09:43:00,UPXI,7.5,7.3092,7.482,68970,245,7.45708
2025-07-17 09:44:00,UPXI,7.4898,7.41,7.41,44540,132,7.453411
2025-07-17 09:45:00,UPXI,7.43,7.23,7.23,145807,587,7.310929
