timestamp,symbol,high,low,close,volume,trade_count,vwap
2025-07-17 09:30:00,ZBAI,0.72,0.696,0.7035,71822,43,0.702899
2025-07-17 09:31:00,ZBAI,0.7196,0.69,0.69,86993,55,0.700332
2025-07-17 09:32:00,ZBAI,0.695,0.68,0.6845,56133,57,0.685459
2025-07-17 09:33:00,ZBAI,0.6963,0.6849,0.6943,14402,49,0.692024
2025-07-17 09:34:00,ZBAI,0.6981,0.6899,0.6933,53354,87,0.692377
2025-07-17 09:35:00,ZBAI,0.7,0.6932,0.6973,41974,59,0.695716
2025-07-17 09:36:00,ZBAI,0.7167,0.695,0.7167,22046,38,0.70651
2025-07-17 09:37:00,ZBAI,0.717,0.71,0.711,26966,39,0.711205
2025-07-17 09:38:00,ZBAI,0.7242,0.711,0.7199,19492,57,0.71569
2025-07-17 09:39:00,ZBAI,0.82,0.71,0.7495,205300,700,0.764122
2025-07-17 09:40:00,ZBAI,0.7748,0.75,0.7643,79228,160,0.766272
2025-07-17 09:41:00,ZBAI,0.7699,0.7505,0.7505,52256,89,0.759322
2025-07-17 09:42:00,ZBAI,0.7585,0.7085,0.7577,50551,103,0.728847
2025-07-17 09:43:00,ZBAI,0.757,0.7301,0.7426,22976,40,0.747383
2025-07-17 09:44:00,ZBAI,0.7699,0.7419,0.7635,30111,86,0.760552
2025-07-17 09:45:00,ZBAI,0.7675,0.7492,0.7504,34185,58,0.755171
