timestamp,symbol,high,low,close,volume,trade_count,vwap
2025-07-17 09:30:00,TDTH,1.11,1.02,1.0344,246163,308,1.060061
2025-07-17 09:31:00,TDTH,1.07,1.03,1.0399,92693,122,1.055171
2025-07-17 09:32:00,TDTH,1.05,1.02,1.0401,65168,105,1.040301
2025-07-17 09:33:00,TDTH,1.07,1.04,1.0426,33428,91,1.054576
2025-07-17 09:34:00,TDTH,1.05,1.0,1.0153,149711,149,1.012778
2025-07-17 09:35:00,TDTH,1.0295,0.95,0.9515,185711,157,0.975949
2025-07-17 09:36:00,TDTH,0.9749,0.91,0.95,228245,197,0.938006
2025-07-17 09:37:00,TDTH,0.9599,0.881,0.9431,338393,219,0.907323
2025-07-17 09:38:00,TDTH,0.95,0.93,0.932,69979,73,0.941043
2025-07-17 09:39:00,TDTH,0.9399,0.9223,0.9254,37579,77,0.935018
2025-07-17 09:40:00,TDTH,0.94,0.9232,0.9341,38871,58,0.93017
2025-07-17 09:41:00,TDTH,0.94,0.93,0.937,32855,91,0.935413
2025-07-17 09:42:00,TDTH,0.941,0.9342,0.9386,38194,63,0.938999
2025-07-17 09:43:00,TDTH,0.939,0.925,0.926,84461,78,0.930476
2025-07-17 09:44:00,TDTH,0.9276,0.9069,0.9276,34113,61,0.909303
2025-07-17 09:45:00,TDTH,0.934,0.91,0.9103,28330,33,0.924933
