timestamp,symbol,high,low,close,volume,trade_count,vwap
2025-07-17 09:30:00,IXHL,0.3584,0.35,0.3511,1697659,501,0.354292
2025-07-17 09:31:00,IXHL,0.3549,0.3506,0.3511,716928,751,0.351633
2025-07-17 09:32:00,IXHL,0.3514,0.349,0.35,1327726,544,0.350312
2025-07-17 09:33:00,IXHL,0.3589,0.35,0.3573,870900,314,0.353958
2025-07-17 09:34:00,IXHL,0.3667,0.351,0.3638,730334,330,0.358212
2025-07-17 09:35:00,IXHL,0.3666,0.3636,0.3651,762047,379,0.365051
2025-07-17 09:36:00,IXHL,0.366,0.365,0.366,397838,197,0.365282
2025-07-17 09:37:00,IXHL,0.3688,0.3651,0.3662,455146,259,0.367154
2025-07-17 09:38:00,IXHL,0.3662,0.3634,0.3657,360734,201,0.365107
2025-07-17 09:39:00,IXHL,0.3692,0.3656,0.3678,218612,303,0.366852
2025-07-17 09:40:00,IXHL,0.3679,0.367,0.3671,155907,134,0.367318
2025-07-17 09:41:00,IXHL,0.3671,0.365,0.3651,364791,220,0.366139
2025-07-17 09:42:00,IXHL,0.3656,0.365,0.365,385976,244,0.365128
2025-07-17 09:43:00,IXHL,0.366,0.365,0.3653,461215,215,0.365485
2025-07-17 09:44:00,IXHL,0.366,0.3634,0.3635,429355,269,0.364956
2025-07-17 09:45:00,IXHL,0.3635,0.36,0.361,433389,175,0.361792
