timestamp,symbol,high,low,close,volume,trade_count,vwap
2025-07-17 09:30:00,DGXX,3.49,3.34,3.4,391871,1295,3.425614
2025-07-17 09:31:00,DGXX,3.48,3.36,3.4699,211046,1340,3.416513
2025-07-17 09:32:00,DGXX,3.47,3.28,3.375,201110,984,3.344118
2025-07-17 09:33:00,DGXX,3.42,3.375,3.412,110977,262,3.400055
2025-07-17 09:34:00,DGXX,3.42,3.37,3.375,41771,237,3.398964
2025-07-17 09:35:00,DGXX,3.37,3.23,3.29,217472,784,3.305392
2025-07-17 09:36:00,DGXX,3.32,3.27,3.295,86428,299,3.301062
2025-07-17 09:37:00,DGXX,3.34,3.2698,3.3353,67647,326,3.303636
2025-07-17 09:38:00,DGXX,3.35,3.31,3.3352,77191,275,3.333947
2025-07-17 09:39:00,DGXX,3.36,3.3001,3.3001,27797,223,3.337645
2025-07-17 09:40:00,DGXX,3.3012,3.23,3.2877,62571,412,3.265175
2025-07-17 09:41:00,DGXX,3.37,3.28,3.342,60803,363,3.327035
2025-07-17 09:42:00,DGXX,3.37,3.31,3.36,38421,195,3.340236
2025-07-17 09:43:00,DGXX,3.4,3.35,3.3896,44309,235,3.37619
2025-07-17 09:44:00,DGXX,3.39,3.37,3.3712,41969,239,3.377048
2025-07-17 09:45:00,DGXX,3.38,3.35,3.3599,31932,111,3.357805
