Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
CTI,0.15,0.02,0.17,,0.124,69.86%,284.9M,68.1M,18.2M
QLGN,6.20,2.02,8.22,,5.82,64.87%,25.5M,729.1K,9.5M
GAME,2.20,0.50,2.70,,2.12,40.4%,18.7M,27.3M,64.4M
APM,1.35,0.56,1.91,,1.268,30.44%,11.9M,3.8M,9.0M
OPEN,1.21,0.08,1.29,,1.2799,23.07%,21.4M,661.0M,933.0M
DPRO,4.76,-0.03,4.73,,4.395,22.02%,16.0M,4.2M,24.0M
IXHL,0.43,-0.02,0.41,,0.4075,19.85%,111.4M,19.6M,12.0M
VCIG,1.36,1.01,2.37,,1.245,19.71%,45.5M,2.2M,4.5M
WINT,1.07,0.29,1.36,,0.9314,12.41%,15.5M,3.6M,3.4M
BTBT,3.70,0.06,3.76,,3.68,11.85%,7.9M,160.2M,764.6M
CGTX,0.65,0.02,0.67,,0.6311,11.11%,10.9M,53.1M,39.1M
TNFA,0.13,0.06,0.19,,0.1149,8.19%,124.3M,11.9M,1.6M
ABVE,2.15,0.21,2.36,,2.015,7.18%,8.2M,16.0M,56.0M
BBAI,7.32,0.15,7.47,,7.4612,5.09%,6.8M,288.0M,2.2B
CTOR,,,1.86,,1.38,-10.39%,11.5M,68.3M,98.7M
SLNH,0.51,0.46,0.97,,0.4931,-35.46%,7.9M,8.1M,6.8M
