Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
PPSI,5.09,0.27,5.36,,5.10,63.99%,67.5M,8.1M,56.8M
PGEN,2.86,0.01,2.87,,2.845,53.78%,56.3M,156.2M,847.7M
UNHG,16.55,1.50,18.05,,16.37,21.55%,7.9M,9.6M,157.3M
TIVC,5.61,0.05,5.66,,4.0503,16.14%,31.8M,805.4K,3.6M
IOBT,1.44,0.05,1.49,,1.4405,12.54%,5.3M,28.6M,94.9M
OPEN,3.43,0.16,3.59,,3.2786,7.85%,142.0M,661.0M,2.4B
UA,5.36,0.09,5.45,,5.0437,6.0%,6.0M,359.6M,2.2B
UAA,5.39,-0.07,5.56,,5.20,5.69%,5.6M,359.6M,2.2B
FUFU,4.57,0.13,4.70,,3.89,-2.02%,11.4M,161.5M,634.5M
XPON,2.06,1.98,4.04,,1.8505,-8.39%,4.1M,3.3M,6.4M
SBET,22.74,0.78,23.52,,20.94,-10.86%,17.3M,55.6M,1.3B
VMAR,2.16,1.12,3.28,,1.9793,-30.31%,21.3M,1.0M,2.3M
