Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mk. Cap.
MSPR,0.75,0.13,0.88,,0.7757,-254.55%,269.1 M,696.6 K,1.1 M
THAR,6.90,0.40,7.30,,5.465,-85.42%,21.0 M,429.7 K,25.4 M
PHIO,3.72,1.61,5.33,,3.405,-66.34%,82.5 M,5.7 M,19.5 M
TGE,1.20,1.00,2.20,,1.24,-59.44%,24.4 M,42.0 M,52.6 M
CRBU,3.55,0.18,3.73,,3.14,-29.34%,49.8 M,85.4 M,291.5 M
MSAI,2.02,0.14,2.16,,1.975,-24.36%,13.9 M,30.6 M,67.1 M
NCRA,1.96,1.85,3.81,,2.0997,-21.51%,27.7 M,6.1 M,30.0 M
CIFR,23.44,0.16,23.60,,22.575,-20.75%,22.4 M,296.9 M,8.9 B
RAY,0.21,0.00,0.21,,0.1988,-20.48%,81.8 M,30.0 M,8.7 M
FEMY,0.82,0.26,1.08,,0.76,-19.29%,41.4 M,28.8 M,24.8 M
EZGO,0.18,0.02,0.20,,0.1609,-18.5%,125.1 M,5.5 M,912.6 K
AREC,4.95,1.03,5.98,,4.465,-16.1%,15.8 M,55.3 M,378.2 M
YGMZ,0.16,-0.01,0.15,,0.1423,-10.65%,75.3 M,76.0 M,10.9 M
IOVA,2.21,0.01,2.22,,2.15,-9.14%,10.7 M,324.6 M,778.0 M
BITF,4.47,0.12,4.59,,4.28,-7.43%,15.3 M,432.0 M,2.4 B
CHR,0.14,0.00,0.14,,0.1306,-6.35%,9.9 M,5.0 M,1.6 M
RNTX,1.77,0.07,1.84,,1.6645,-6.29%,31.3 M,22.1 M,38.8 M
