Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
AGAE,1.84,0.62,2.46,23.91%,1.82,99.76%,72.3M,12.7M,69.2M
GCTK,11.51,2.32,13.83,4.17%,8.88,82.34%,32.8M,783.3K,8.0M
VSTD,1.98,0.50,2.48,18.69%,2.105,63.18%,61.3M,7.5M,29.9M
HCWB,5.51,-0.06,5.45,0.0%,4.99,50.3%,13.4M,1.3M,10.7M
AIRE,1.50,0.54,2.04,20.0%,1.615,31.3%,52.1M,50.6M,135.7M
MJID,1.44,0.08,1.52,4.17%,1.4994,28.15%,28.7M,6.9M,30.7M
WLDS,9.46,2.23,11.69,15.43%,10.3476,27.59%,25.3M,839.8K,10.6M
PLRZ,1.31,-0.03,1.28,0.0%,1.132,16.62%,33.1M,3.7M,6.1M
COCP,2.58,0.03,2.61,3.49%,1.8299,13.19%,74.7M,7.4M,16.7M
WOLF,2.08,0.42,2.50,12.5%,2.0601,9.58%,41.7M,154.9M,323.1M
MGTH,2.77,-0.04,2.73,1.44%,2.37,8.22%,14.4M,1.2M,26.7M
BHAT,2.03,0.10,2.13,0.0%,1.71,4.27%,15.4M,17.8M,100.0M
BBAI,5.39,0.14,5.53,0.0%,5.035,3.39%,49.6M,366.6M,1.9B
UOKA,3.53,0.27,3.80,0.0%,2.89,2.85%,17.3M,649.1K,3.1M
BITF,2.16,0.01,2.17,0.46%,2.0837,2.63%,39.7M,432.0M,1.2B
OPEN,10.42,-0.05,10.37,0.0%,9.92,-5.7%,147.6M,667.4M,7.3B
