Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
ELBM,3.66,-0.01,3.65,5.74%,3.8392,132.68%,33.7M,17.8M,69.0M
STI,13.01,2.26,15.27,0.0%,11.02,100.73%,34.9M,1.0M,30.6M
PMAX,5.03,0.61,5.64,0.0%,4.6301,78.77%,20.0M,5.7M,58.0M
GWH,6.01,0.46,6.47,0.0%,5.864,40.96%,37.8M,9.4M,83.3M
NDRA,9.86,0.61,10.47,0.0%,8.7914,35.67%,11.6M,745.2K,6.5M
CHNR,6.66,-0.13,6.53,0.0%,6.38,28.19%,10.7M,544.7K,8.0M
FGL,0.44,0.00,0.44,0.0%,0.4117,18.99%,78.2M,5.0M,8.0M
NAMM,3.82,0.09,3.91,0.0%,3.705,17.25%,8.6M,45.9M,198.9M
BITF,4.76,0.08,4.84,0.21%,4.7399,12.85%,15.3M,432.0M,2.6B
BURU,0.56,-0.02,0.54,0.0%,0.5361,12.82%,30.7M,79.2M,42.9M
LAES,6.06,0.13,6.19,0.83%,6.095,12.66%,8.8M,98.5M,637.0M
BBAI,8.12,0.02,8.14,0.0%,8.08,11.91%,9.7M,366.6M,3.0B
SOXL,38.54,0.70,39.24,0.0%,38.1099,11.4%,21.0M,330.9M,12.6B
RGTI,48.13,0.79,48.92,0.0%,47.5938,8.36%,7.9M,318.0M,15.4B
TSLL,19.13,0.43,19.56,0.0%,19.01,5.85%,20.9M,386.5M,7.4B
