Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
WINT,1.44,0.51,1.95,,1.72,91.11%,50.9M,3.6M,6.3M
XXII,7.68,5.47,13.15,,7.4698,63.1%,13.4M,400.3K,3.7M
BSLK,4.35,0.35,4.70,,3.60,62.9%,53.4M,837.1K,7.1M
ABVE,2.60,0.53,3.13,,2.4295,44.61%,38.2M,16.0M,67.6M
BTOG,0.46,0.03,0.49,,0.45,35.62%,47.0M,8.4M,3.8M
OPEN,1.96,0.36,2.32,,2.01,34.9%,119.1M,661.0M,1.5B
BTCS,6.96,0.05,7.01,,7.0098,21.7%,6.7M,12.1M,148.1M
TDTH,1.12,0.02,1.14,,1.045,20.25%,4.6M,40.5M,80.4M
RCKT,3.53,-0.10,3.43,,3.2512,15.68%,4.0M,77.0M,350.5M
DGXX,3.50,0.50,4.00,,3.4107,10.02%,15.7M,29.4M,124.0M
ZBAI,0.73,0.02,0.75,,0.6939,1.82%,4.9M,12.0M,12.0M
UPXI,8.37,0.78,9.15,,7.55,3.59%,3.8M,25.5M,279.5M
IXHL,0.38,0.03,0.41,,0.3572,-7.91%,24.3M,19.6M,10.5M
AIRE,0.16,0.05,0.21,,0.1444,-28.43%,5.7M,50.7M,7.4M
GAME,1.59,1.00,2.59,,1.49,-35.5%,14.8M,27.3M,45.1M
