Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
SPRC,4.07,2.93,7.00,,4.2794,132.59%,96.2M,515.8K,2.3M
ATCH,0.98,0.47,1.45,,1.3011,50.49%,73.1M,13.8M,20.4M
CDT,1.06,0.05,1.11,,0.879,37.0%,151.7M,2.7M,2.7M
NFE,2.79,0.44,3.23,,2.6098,30.49%,76.2M,200.9M,742.6M
SQFT,8.87,0.99,9.86,,7.88,29.58%,11.9M,1.1M,11.4M
CWD,9.44,0.99,10.43,,8.2101,29.39%,28.6M,1.6M,19.8M
RELI,0.90,0.03,0.93,,0.8195,19.99%,31.7M,3.8M,3.6M
HIND,9.58,0.06,9.64,,7.34,21.42%,13.1M,2.5M,19.3M
IPM,2.90,0.10,3.00,,2.2789,18.08%,53.0M,6.0M,21.1M
