Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
BGLC,8.15,2.01,10.16,,8.12,82.06%,34.3M,1.3M,14.7M
REPL,6.59,0.53,7.12,,6.07,61.87%,59.3M,52.2M,466.0M
OP,0.20,0.00,0.20,,0.1984,41.31%,205.1M,1.3M,1.5M
SGD,1.97,0.87,2.84,,1.6508,31.02%,14.7M,1.7M,3.5M
TYGO,1.76,0.09,1.85,,1.5711,27.73%,25.2M,30.9M,97.4M
SRPT,19.26,-0.03,19.23,,18.58,17.37%,8.0M,90.8M,1.8B
VFC,15.41,0.85,16.26,,14.2486,14.51%,6.2M,385.8M,5.6B
FUBO,4.00,0.18,4.18,,3.8899,9.86%,9.5M,323.4M,1.3B
IXHL,1.33,0.64,1.97,,1.1401,6.55%,115.6M,24.9M,33.8M
PTON,7.05,0.11,7.16,,6.6317,7.31%,4.0M,394.2M,2.6B
MARA,17.93,0.40,18.33,,17.6512,6.27%,9.4M,348.4M,6.2B
DPRO,5.08,0.03,5.11,,4.865,5.99%,4.6M,4.2M,26.5M
NAK,0.80,-0.01,0.79,,0.7826,5.29%,3.7M,527.7M,420.8M
STAK,1.88,-0.02,1.86,,1.765,5.07%,4.4M,2.1M,19.8M
CAN,0.71,0.00,0.71,,0.676,3.46%,4.7M,381.6M,284.1M
NVOX,3.20,0.47,3.67,,3.1611,-10.7%,5.4M,2.2M,6.8M
STAI,1.13,0.24,1.37,,1.01,-16.13%,3.9M,24.6M,48.7M
VWAV,8.35,0.24,1.37,,1.01,-16.13%,3.9M,24.6M,48.7M
