Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
MNTS,2.00,0.53,2.53,,2.0172,81.73%,91.7M,5.5M,11.2M
BSLK,3.51,0.45,3.96,,3.515,61.24%,35.6M,1.2M,7.2M
ATNF,15.26,1.89,17.15,,15.1178,47.63%,25.0M,3.7M,91.3M
SPNS,42.64,3.86,46.50,,42.61,44.44%,6.9M,30.0M,2.4B
CGTX,1.48,-0.04,1.71,,1.4197,29.06%,22.9M,53.1M,104.2M
XFOR,3.34,-0.06,3.90,,3.25,25.97%,43.1M,5.1M,37.0M
VOR,2.14,0.50,2.64,,2.0897,25.39%,13.9M,42.6M,261.0M
UPXI,8.19,0.11,8.30,,7.855,17.94%,6.6M,25.5M,292.6M
AMDL,13.70,-0.02,14.68,,13.59,8.89%,8.5M,56.9M,773.3M
SBET,23.81,1.43,25.24,,23.8717,6.24%,8.9M,55.6M,1.5B
SOUN,16.87,0.64,17.51,,16.415,2.72%,6.9M,397.3M,6.7B
DNN,2.08,0.09,2.17,,2.09,-3.24%,41.8M,887.5M,1.9B
ETHD,3.46,0.50,3.96,,3.43,-8.78%,5.3M,9.0M,30.8M
INVZ,1.56,0.27,1.83,,1.617,-11.15%,6.4M,188.2M,322.3M
ONDS,3.66,0.65,4.31,,3.755,-12.47%,28.9M,126.4M,515.5M
CRE,2.06,5.34,7.40,,2.005,-71.19%,5.1M,23.8M,48.2M
