Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
IMG,0.53,0.05,0.58,,0.47,135.0%,288.2M,36.0M,17.0M
PALI,1.56,0.67,2.23,,1.65,65.0%,44.9M,4.7M,8.0M
RUN,11.58,0.55,12.13,,11.8902,31.09%,9.6M,220.8M,2.7B
BTOG,0.41,0.03,0.44,,0.4229,26.84%,6.6M,8.4M,3.6M
CREG,1.94,0.21,2.15,,1.9409,25.22%,13.5M,2.4M,4.9M
CMCT,9.01,0.25,9.26,,8.31,23.92%,11.5M,605.2K,6.3M
YHC,1.79,0.22,2.01,,1.49,24.17%,81.0M,1.1M,1.6M
HL,7.10,0.16,7.26,,7.315,19.72%,7.6M,623.7M,4.6B
NVOX,2.81,0.10,2.91,,2.78,13.47%,15.5M,19.4M,53.8M
IXHL,0.41,0.02,0.43,,0.3782,9.64%,21.0M,24.9M,11.1M
BMNR,42.25,1.71,43.96,,41.78,8.6%,10.8M,1.5M,179.8M
SOXL,25.67,-0.08,25.59,,25.49,6.25%,18.3M,502.0M,12.8B
PTON,7.57,0.08,7.65,,7.4464,5.32%,8.8M,394.2M,3.0B
PCSA,0.26,-0.01,0.28,,0.2295,0.92%,27.4M,10.7M,9.2M
BURU,0.23,0.02,0.25,,0.226,-2.59%,6.1M,51.9M,11.9M
OPEN,1.94,0.15,2.09,,1.7914,-5.72%,20.2M,661.0M,1.3B
SOXS,7.54,0.68,8.22,,7.5201,-6.35%,29.3M,179.1M,1.3B
