Symbol,Signal,Long Delta,Resistance,Major Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
OSRH,1.21,0.11,1.32,0.0,,1.1202,117.51%,128.9M,6.9M,24.2M
CAPS,2.08,-0.04,2.64,2.04,,2.0104,82.76%,55.9M,1.6M,11.2M
STSS,12.01,7.39,19.40,0.0,,12.12,64.79%,9.9M,1.0M,12.4M
HCWB,5.69,0.59,6.28,0.0,,5.28,53.0%,25.2M,849.1K,11.4M
OPAD,2.24,0.12,2.36,0.0,,2.1757,41.28%,10.9M,18.2M,66.4M
CGTX,3.59,-0.17,3.96,3.96,,3.4188,21.67%,5.5M,62.9M,250.2M
ASST,5.66,0.98,6.64,0.0,,5.25,18.78%,11.3M,16.5M,87.8M
MRM,2.09,0.16,2.25,0.0,,1.995,12.71%,10.0M,6.0M,15.8M
