Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
GWH,3.72,0.13,3.85,,3.5776,108.0%,133.8M,9.4M,50.7M
SGBX,6.01,0.27,6.28,,6.06,87.04%,34.3M,404.9K,2.9M
STAI,0.72,0.00,0.72,,0.70,56.18%,11.4M,61.8M,45.1M
SLE,5.13,1.29,6.42,,4.8691,36.77%,16.0M,1.1M,5.2M
APLD,37.03,4.12,41.15,,37.3701,27.59%,12.7M,223.1M,9.8B
PWM,1.47,0.21,1.68,,1.23,18.27%,38.3M,25.4M,39.1M
WAI,3.65,0.16,3.81,,3.5387,15.64%,12.3M,1.7M,5.8M
BURU,0.56,-0.02,0.54,,0.5235,13.34%,40.1M,79.2M,41.9M
BITF,4.60,0.36,4.96,,4.6999,12.71%,16.8M,432.0M,2.6B
GORV,2.97,0.17,3.14,,2.98,12.45%,22.9M,306.3K,11.1M
INTS,0.38,0.01,0.39,,0.3474,9.49%,13.3M,41.4M,16.3M
BBAI,7.81,0.31,8.12,,8.019,7.06%,9.3M,366.6M,3.0B
IONZ,3.08,0.03,3.11,,3.095,6.36%,27.9M,19.3M,59.7M
CAN,1.34,-0.01,1.33,,1.295,6.15%,10.3M,381.6M,544.2M
LAES,6.52,0.08,6.60,,6.2227,2.18%,24.8M,98.5M,651.0M
