Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
COOT,4.10,0.58,4.68,,3.86,300.0%,100.9M,8.6M,107.7M
OMER,11.66,2.75,14.41,,11.02,168.78%,36.9M,59.3M,750.0M
SDOT,,,13.12,,12.06,132.37%,11.6M,737.6K,11.9M
GNPX,0.51,0.13,0.64,,0.5322,112.24%,186.6M,33.1M,17.9M
PFAI,3.47,0.90,3.97,,3.2925,72.77%,39.0M,3.5M,38.6M
SEED,2.36,0.16,2.52,,2.23,55.39%,24.8M,6.2M,16.1M
DFLI,2.31,-0.06,2.25,,2.1701,41.83%,35.3M,59.8M,133.9M
IBG,4.79,0.11,4.90,,4.46,39.13%,17.4M,2.1M,10.4M
RKDA,5.40,0.10,5.50,,4.9394,35.23%,16.1M,1.3M,6.8M
VIVK,0.27,0.02,0.29,,0.2313,25.08%,35.3M,22.5M,11.3M
TE,5.11,0.08,5.19,,4.90,22.32%,10.5M,103.2M,764.9M
TBH,1.27,-0.01,1.26,,1.195,18.32%,21.4M,6.9M,12.9M
ATCH,0.49,0.01,0.50,,0.455,13.32%,18.6M,125.6M,57.7M
YYAI,0.19,-0.02,0.17,,0.1661,11.13%,80.6M,6.4M,2.4M
CAN,2.10,0.05,2.15,,1.9999,11.04%,22.2M,381.6M,840.0M
LAES,8.31,0.12,8.43,,8.365,9.48%,16.5M,98.5M,875.3M
