Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mk. Cap.
YYAI,0.20,0.02,0.22,,0.19,-134.49%,929.5 M,6.4 M,2.8 M
BNBX,5.63,1.08,6.71,,5.9499,-76.75%,21.8 M,1.1 M,7.8 M
BENF,0.90,0.07,0.97,,0.8296,-70.34%,77.3 M,8.8 M,8.0 M
AIRE,1.13,0.09,1.22,,1.21,-66.3%,107.3 M,50.6 M,101.4 M
BYND,6.29,-0.02,6.27,,5.39,-48.9%,555.2 M,75.4 M,413.1 M
AREB,1.70,0.06,1.76,,1.729,-36.99%,13.9 M,115.5 K,875.8 K
SBEV,2.45,0.24,2.69,,2.571,-36.51%,13.1 M,645.2 K,5.5 M
FLWS,6.96,1.21,8.17,,6.5701,-27.4%,15.5 M,54.1 M,417.4 M
BURU,0.38,-0.01,0.37,,0.3499,-20.86%,134.2 M,79.2 M,28.0 M
DNUT,4.98,0.23,5.21,,4.3135,-16.44%,49.6 M,90.9 M,739.6 M
IXHL,0.44,-0.02,0.42,,0.4034,-13.59%,22.1 M,293.8 M,141.0 M
RANI,3.57,0.30,3.87,,3.215,-12.97%,15.8 M,39.8 M,231.4 M
SHMD,4.46,0.08,4.54,,4.35,-7.94%,7.6 M,11.4 M,186.9 M
GPUS,0.41,0.00,0.41,,0.3848,-4.76%,15.8 M,31.8 M,12.4 M
