Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt.Cap.
SOND,,0.21,,0.203,120.2%,170.1 M,12.1 M,2.7 M
MNDR,,3.43,,3.10,86.75%,21.1 M,903.5 K,3.2 M
IVP,,0.14,,0.135,30.09%,123.2 M,3.3 M,512.3 K
INM,,1.54,,1.50,21.95%,3.1 M,2.8 M,4.2 M
CRWG,,4.28,,4.25,18.72%,934.2 K,15.6 M,66.4 M
PSNYW,,0.24,,0.2349,17.45%,5.2 M,363.0 M,495.7 M
FGL,,0.44,,0.4165,15.0%,2.9 M,5.0 M,8.0 M
CIFR,,17.20,,16.51,12.86%,843.7 K,298.3 M,6.5 B
PSTV,,0.55,,0.5469,11.61%,3.3 M,136.1 M,75.2 M
VIVK,,0.14,,0.1389,8.26%,24.6 M,22.5 M,6.7 M
SOVL,,38.92,,38.57,7.26%,3.8 M,309.4 M,11.9 B
MSTU,,1.51,,1.445,7.04%,1.3 M,349.8 M,505.5 M
