Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
FGI,11.01,2.47,13.48,,10.81,172.29%,24.0M,458.5K,20.7M
TURB,7.21,0.24,7.45,,6.03,123.33%,28.0M,3.0M,66.5M
CHFR,2.11,0.22,2.33,,2.09,84.69%,29.5M,3.1M,25.7M
APVO,2.36,1.25,3.61,,2.37,64.58%,48.0M,3.3M,7.8M
BGI,1.50,0.83,2.33,,1.2907,51.99%,27.7M,2.4M,25.5M
AHHS,3.09,0.19,3.28,,2.825,31.4%,38.0M,1.1M,3.1M
CHEK,2.62,0.47,3.09,,2.64,24.53%,8.9M,4.3M,15.4M
SNTG,3.65,0.70,4.35,,3.42,20.0%,13.8M,1.1M,9.6M
NUKK,6.69,0.64,7.33,,6.1422,19.27%,9.7M,5.0M,43.5M
OPI,1.14,0.04,1.18,,1.005,14.2%,16.2M,72.7M,74.7M
NAKA,1.43,-0.03,1.47,,1.38,11.29%,8.7M,4.5M,10.5M
WOLF,3.20,0.14,3.34,,3.305,11.66%,15.9M,154.9M,517.9M
BBAI,5.61,0.04,5.65,,5.5818,9.66%,12.5M,366.6M,2.1B
WHLR,2.17,0.04,2.21,,2.0607,8.46%,9.6M,615.6K,2.6M
TANH,2.05,0.03,2.08,,1.99,5.29%,11.3M,1.4M,2.7M
IMTE,1.17,0.03,1.20,,1.135,5.09%,19.0M,3.4M,3.9M
SLNH,1.01,-0.03,1.05,,0.9567,2.87%,33.2M,21.3M,28.8M
