Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
EQ,1.26,0.03,1.29,,0.9337,88.56%,88.9M,20.0M,33.4M
ENTO,0.64,0.04,0.68,,0.6611,81.17%,117.8M,4.7M,3.2M
BJDX,2.07,0.29,2.36,,1.89,35.0%,26.1M,1.5M,2.8M
AUUD,3.53,1.31,4.84,,3.44,29.81%,19.9M,614.2K,2.1M
VFF,2.46,2.91,2.44,,2.1988,27.84%,8.4M,99.9M,243.8M
CGC,1.50,0.09,1.59,,1.5099,20.79%,12.8M,106.2M,162.4M
FAAS,0.43,0.02,0.45,,0.3453,17.25%,15.0M,55.4M,21.0M
ZIM,17.85,1.63,19.48,,17.89,15.42%,6.7M,119.0M,2.2B
SOUN,14.42,1.53,15.95,,15.275,12.73%,24.2M,397.3M,6.1B
WLDS,1.85,0.31,2.16,,1.785,10.19%,14.6M,839.8K,1.8M
AMC,3.27,0.04,3.31,,3.1673,8.1%,12.0M,428.8M,1.4B
MSTU,8.18,0.11,8.29,,8.2588,7.82%,10.5M,170.9M,1.4B
TSLL,13.01,0.06,13.07,,12.87,6.1%,32.5M,535.8M,6.9B
IXHL,0.43,0.05,0.48,,0.4405,-0.34%,12.9M,24.9M,13.0M
SGBX,0.38,0.06,0.44,,0.3601,-4.95%,5.3M,8.5M,3.9M
TSLZ,1.39,0.07,1.46,,1.335,-5.65%,10.4M,56.3M,75.2M
ALTS,8.45,0.48,8.93,,8.005,-10.75%,27.7M,16.7M,139.8M
