Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mk. Cap.
VSEE,,,4.56,,2.1401,-246.57%,132.3 M,6.9 M,36.4 M
XHLD,0.55,0.18,0.73,,0.5882,-110.04%,243.6 M,34.5 M,20.7 M
FRGT,1.90,0.31,2.21,,1.8807,-52.85%,63.5 M,2.7 M,5.2 M
GPUS,0.67,0.05,0.72,,0.6399,-28.44%,225.8 M,31.8 M,20.6 M
JEM,0.42,0.08,0.50,,0.37,-25.55%,28.7 M,2.2 M,8.1 M
RELI,1.20,0.06,1.26,,1.18,-24.08%,23.8 M,3.8 M,5.1 M
ATCH,0.48,0.02,0.50,,0.4732,-23.8%,37.6 M,125.6 M,60.0 M
SCWO,0.54,0.00,0.54,,0.4758,-22.91%,11.2 M,82.5 M,71.9 M
YMAT,1.15,0.21,1.36,,1.04,-22.36%,19.2 M,7.2 M,17.9 M
WULF,15.51,0.24,15.75,,15.465,-13.32%,12.5 M,279.4 M,6.1 B
POLA,4.21,0.29,4.50,,4.0691,-10.11%,12.6 M,1.7 M,10.1 M
FGL,0.41,0.01,0.42,,0.379,-7.04%,41.9 M,5.0 M,7.3 M
BYND,1.97,0.08,2.05,,1.885,-3.87%,38.0 M,75.4 M,144.1 M
NAKA,1.01,0.01,1.02,,0.9898,-2.0%,15.8 M,361.1 M,603.7 M
