Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
ORIS,0.20,0.00,0.20,,0.1936,114.87%,489.2M,12.3M,4.2M
MRM,2.04,-0.09,1.95,,2.02,68.33%,29.6M,6.0M,15.9M
SOUN,13.45,0.11,13.56,,13.2193,23.31%,36.2M,397.3M,5.3B
SGBX,0.41,0.02,0.43,,0.3549,23.22%,112.9M,8.5M,3.6M
SPRU,1.76,-0.03,1.73,,1.4402,23.09%,44.5M,15.6M,26.0M
BTOG,0.53,0.04,0.57,,0.5211,22.04%,9.6M,8.4M,4.5M
ONDS,3.69,0.26,3.95,,3.66,12.62%,4.8M,126.4M,503.0M
RKLB,49.95,0.30,50.25,,48.12,8.84%,4.8M,406.5M,22.2B
BMNR,43.36,0.46,43.82,,43.946,6.46%,4.9M,1.5M,189.6M
IXHL,0.53,-0.01,0.52,,0.4904,6.03%,72.7M,24.9M,14.5M
BBAI,7.23,-0.09,7.14,,6.98,5.6%,7.3M,288.0M,2.0B
CAN,0.76,-0.02,0.74,,0.7244,5.22%,5.8M,381.6M,305.1M
CLIK,0.40,-0.01,0.39,,0.3856,4.5%,27.7M,8.9M,5.7M
BTNI,2.03,0.42,2.45,,1.9640,-8.2%,7.6M,321.6K,1.6M
PINS,34.41,5.09,39.50,,34.785,-11.19%,5.6M,666.6M,23.5B
FOXO,0.12,0.01,0.13,,0.101,-12.35%,7.4M,10.0M,1.0M
IMG,0.36,0.22,0.58,,0.3582,-16.11%,5.0M,36.0M,13.1M
