Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt.Cap.
NVVE,,0.52,,0.4835,208.96%,75.4 M,16.9 M,9.1 M
MRSN,,29.00,,26.77,202.71%,664.8 K,4.3 M,134.0 M
MGRX,,2.60,,2.57,46.02%,9.4 M,8.9 M,27.1 M
SOND,,0.25,,0.2354,38.47%,59.5 M,12.1 M,3.1 M
SGBX,,3.15,,3.10,29.71%,7.6 M,404.9 K,1.5 M
TRUG,,2.05,,1.98,23.75%,483.2 K,669.3 K,2.6 M
RUBI,,0.25,,0.2418,21.31%,50.7 M,1.4 M,759.6 K
LVLU,,6.33,,5.90,20.65%,1.9 M,1.2 M,16.2 M
TMMG,,0.33,,0.3382,12.88%,199.7 K,16.6 M,9.6 M
CSIQ,,31.83,,31.75,11.56%,533.4 K,46.7 M,2.1 B
VSA,,0.33,,0.3191,10.03%,8.3 M,45.8 M,15.1 M
RGTZ,,24.67,,24.78,6.99%,864.5 K,7.3 M,181.6 M
