Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mk. Cap.
MSPR,,,0.72,,0.5733,-80.61%,43.6 M,696.6 K,804.5 K
ENGN,,,10.24,,9.25,-53.63%,9.4 M,45.8 M,471.9 M
TURB,,,4.12,,3.29,-31.73%,3.9 M,3.0 M,36.1 M
BODI,,,8.19,,6.1881,-23.27%,7.2 M,3.0 M,43.7 M
CYCU,,,3.78,,3.21,-21.59%,10.2 M,2.5 M,9.3 M
ASBP,,,0.24,,0.1821,-18.03%,74.0 M,36.7 M,9.0 M
KLTR,,,2.04,,1.72,-17.01%,10.4 M,86.7 M,265.7 M
IZM,,,1.25,,1.21,-16.35%,6.0 M,11.9 M,14.5 M
BBAI,,,6.75,,6.63,-16.11%,5.1 M,367.0 M,2.5 B
PRSO,,,1.23,,1.19,-14.42%,7.0 M,5.9 M,7.3 M
ZENA,,,4.77,,4.45,-13.52%,5.1 M,19.2 M,113.5 M
VCIG,,,3.23,,1.95,-10.17%,18.4 M,740.7 K,2.3 M
GLTO,,,22.10,,19.00,-10.14%,756.8 K,1.2 M,25.2 M
RGTZ,,,19.41,,19.02,-7.33%,695.4 K,7.3 M,139.5 M
