Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
ATNF,6.17,0.22,6.39,,5.66,69.46%,42.2M,3.7M,34.2M
WOW,5.07,0.29,5.36,,5.055,49.56%,17.3M,44.4M,432.1M
GEVO,1.79,0.06,1.85,,1.7293,38.0%,22.6M,216.1M,413.2M
HBI,6.76,-0.27,7.52,,6.48,34.16%,18.5M,350.1M,2.3B
XFOR,1.87,0.05,1.92,,1.765,24.3%,34.3M,5.1M,20.0M
ONDS,4.33,-0.10,4.68,,4.102,19.59%,13.0M,126.4M,563.7M
ZENA,5.96,0.24,6.20,,5.5812,16.27%,13.8M,12.3M,142.3M
CGC,1.82,0.04,1.86,,1.745,10.44%,9.3M,106.2M,187.7M
ALTS,7.21,1.19,8.40,,7.045,6.8%,3.6M,16.7M,123.0M
MSOS,5.12,0.00,5.12,,5.00,6.38%,3.4M,151.0M,754.9M
SBET,24.05,1.74,25.79,,23.40,4.77%,12.2M,55.6M,1.5B
ETHD,4.02,0.35,4.37,,3.9698,-7.46%,6.0M,9.0M,35.8M
BTAI,5.76,0.63,6.39,,5.70,-10.94%,4.9M,5.3M,34.5M
BBAI,5.01,2.23,7.24,,5.115,-27.86%,47.0M,288.0M,1.5B
