Symbol,Signal,Long Delta,Resistance,Major Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
GMHS,2.67,0.55,3.22,0.0,,2.30,102.73%,83.5M,13.6M,122.7M
MOVE,1.18,0.20,1.38,0.0,,1.21,95.92%,36.2M,6.2M,8.5M
IPDN,3.44,-0.02,4.33,0.0,,3.015,55.59%,16.8M,1.3M,7.6M
NUKK,5.57,0.44,6.01,0.0,,5.55,50.24%,36.0M,5.0M,39.2M
IREN,27.82,2.56,30.38,0.0,,28.69,24.65%,14.5M,178.4M,5.4B
SMX,2.16,0.16,2.32,0.0,,2.1399,22.98%,36.0M,726.8K,2.1M
WOOF,4.20,0.39,4.59,0.0,,3.88,20.12%,4.2M,111.2M,1.2B
OPEN,4.61,0.36,4.97,0.0,,4.685,9.6%,39.4M,667.4M,3.4B
SOGP,14.97,3.78,18.75,0.0,,13.59,7.67%,4.3M,3.7M,66.4M
RR,3.45,0.00,3.66,0.0,,3.285,6.14%,8.9M,28.0M,492.4M
CIFR,7.42,0.19,7.61,0.0,,7.325,4.34%,4.0M,381.9M,2.9B
DNN,2.39,0.04,2.43,0.0,,2.2742,3.37%,6.2M,887.7M,2.0B
CGC,1.83,0.05,1.88,0.0,,1.77,-5.87%,3.9M,263.4M,470.8M
