Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mk. Cap.
MSGM,4.77,0.94,5.71,,4.83,-120.54%,51.8 M,2.2 M,27.9 M
AZI,0.16,0.00,0.16,,0.1397,-41.13%,159.4 M,11.0 M,14.8 M
BKYI,0.97,0.04,1.01,,0.879,-38.66%,119.7 M,5.4 M,6.0 M
RUBI,0.31,-0.01,0.30,,0.2771,-22.97%,119.0 M,1.4 M,866.6 K
MTVA,1.03,0.04,1.07,,0.999,-17.53%,25.5 M,24.0 M,24.2 M
VSNE,0.40,0.00,0.40,,0.3749,-14.75%,13.8 M,8.7 M,3.6 M
IONZ,4.29,0.07,4.36,,4.316,-13.55%,5.4 M,15.8 M,68.0 M
MSTZ,9.49,0.23,9.72,,9.4694,-13.14%,6.7 M,14.8 M,140.1 M
DVLT,1.49,0.00,1.49,,1.4588,-7.26%,6.4 M,90.2 M,142.5 M
CGC,1.26,0.04,1.30,,1.145,-5.05%,5.6 M,263.4 M,304.6 M
