Symbol,Signal,Long Delta,Resistance,Major Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
ZNB,2.46,1.11,3.57,0.0,38.61%,3.2735,138.94%,92.3M,1.1M,3.7M
SBET,16.18,0.97,17.15,0.0,0.0%,15.66,-6.9%,8.2M,151.1M,2.6B
PFBT,0.91,0.54,1.45,0.0,0.0%,0.8224,-42.08%,37.7M,2.4M,2.2M
ONDS,5.12,0.29,5.41,0.0,5.27%,5.0524,1.24%,9.7M,201.6M,1.1B
NEON,4.20,17.52,21.72,0.0,10.71%,4.37,-79.69%,24.5M,12.8M,73.3M
NCI,2.26,0.24,2.50,0.0,3.98%,2.3206,28.92%,9.9M,1.2M,9.4M
HWH,6.97,1.12,8.09,0.0,2.72%,5.44,22.8%,24.7M,1.5M,35.2M
CIGL,3.91,0.84,4.75,0.0,21.23%,3.27,122.45%,84.6M,22.1M,73.2M
BSLK,4.78,0.72,5.50,0.0,9.0%,4.15,43.6%,29.5M,1.2M,8.6M
BRJA,4.96,0.41,5.37,0.0,0.0%,4.31,68.37%,18.5M,10.3M,132.0M
BBLG,2.94,0.75,3.69,0.0,11.9%,2.8033,35.43%,46.3M,1.7M,5.0M
ALTS,3.97,1.15,5.12,0.0,2.02%,3.865,-13.92%,7.6M,117.2M,474.4M
AI,15.69,1.19,16.88,0.0,1.08%,15.665,-6.09%,9.4M,106.4M,2.1B
AEO,18.31,1.55,19.86,0.0,0.0%,17.99,32.09%,28.2M,158.2M,3.1B
