Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt.Cap.
ENLV,1.69,0.42,2.11,,1.4325,59.59%,110.1 M,21.4 M,34.1 M
IVP,0.19,0.04,0.23,,0.175,44.97%,197.0 M,3.3 M,660.8 K
GELS,1.15,0.34,1.49,,1.24,39.77%,34.4 M,6.1 M,13.2 M
CJET,2.80,0.71,3.51,,2.525,32.38%,22.8 M,324.7 K,1.9 M
OSCR,16.66,0.43,17.09,,16.26,20.7%,13.3 M,240.1 M,4.3 B
OSRH,0.69,0.01,0.70,,0.6657,18.5%,11.6 M,8.5 M,17.1 M
KTTA,0.45,0.10,0.55,,0.335,14.63%,22.0 M,7.2 M,2.5 M
GPUS,0.30,-0.01,0.29,,0.2845,12.26%,10.4 M,344.3 M,99.0 M
DFLI,0.86,0.06,0.92,,0.8233,9.76%,10.0 M,117.0 M,99.4 M
TSLL,16.60,0.45,17.05,,16.8501,9.24%,25.7 M,373.6 M,6.3 B
ONDS,7.06,0.37,7.43,,7.295,8.39%,9.2 M,362.6 M,2.7 B
SOVL,33.14,0.90,34.04,,34.1596,7.59%,21.5 M,309.4 M,10.6 B
OPEN,7.01,0.16,7.17,,7.215,6.83%,12.6 M,892.3 M,7.1 B
VSA,0.22,0.00,0.22,,0.1934,6.09%,68.2 M,45.8 M,9.2 M
BMHR,27.64,0.50,28.14,,27.465,5.6%,6.8 M,281.9 M,7.8 B
DVLT,2.73,0.10,2.83,,2.625,3.33%,25.2 M,263.3 M,751.5 M
ATON,3.30,2.16,5.46,,2.8638,-1.75%,24.3 M,1.5 M,6.5 M
