Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
PBM,4.98,0.47,5.45,16.47%,5.4073,129.12%,26.8M,706.1K,3.9M
BTBD,2.50,1.27,3.87,30.77%,3.2599,98.77%,14.6M,3.3M,20.2M
COMM,14.06,1.78,15.84,4.38%,15.94,78.35%,25.1M,212.0M,3.0B
VERB,16.41,0.74,17.15,0.9%,14.77,55.31%,7.1M,1.3M,21.0M
ATCH,0.25,0.02,0.27,0.0%,0.2259,42.25%,118.0M,13.8M,3.5M
SNGX,4.34,0.55,4.89,0.0%,3.5601,29.93%,32.1M,3.2M,11.7M
BLDE,5.01,0.06,5.07,0.0%,4.75,25.66%,4.2M,49.0M,384.4M
BTAI,1.91,-0.04,1.87,0.0%,1.69,23.36%,26.5M,5.3M,10.2M
ORIS,0.16,-0.01,0.15,0.0%,0.1284,16.54%,89.9M,12.3M,2.8M
IXHL,0.45,0.01,0.46,2.22%,0.4429,14.89%,44.7M,24.9M,13.0M
AACG,1.34,0.40,1.74,0.0%,1.238,14.63%,3.9M,13.2M,39.6M
TMC,6.70,-0.08,6.62,0.0%,6.425,9.47%,7.6M,203.5M,2.3B
INMB,2.97,0.08,3.05,0.0%,2.77,8.2%,18.4M,14.9M,64.3M
OPEN,2.29,0.10,2.39,2.62%,2.27,8.1%,53.8M,661.0M,1.7B
BBAI,6.76,0.18,6.94,2.96%,6.8883,7.63%,11.8M,288.0M,2.0B
TNFA,0.12,-0.01,0.11,0.0%,0.1064,5.35%,5.1M,11.9M,1.5M
BCDA,1.91,0.21,2.12,0.0%,1.82,-14.55%,9.7M,4.3M,9.4M
