Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mk. Cap.
EPWK,0.14,0.02,0.16,,0.1553,-134.74%,599.3 M,9.5 M,3.4 M
HKD,2.96,0.48,3.44,,2.6399,-55.62%,28.9 M,124.9 M,331.8 M
GETY,3.22,0.43,3.65,,2.9783,-48.01%,65.5 M,177.1 M,1.2 B
MSAI,1.81,0.08,1.89,,1.8802,-42.43%,39.5 M,30.6 M,65.0 M
DFSC,5.60,0.62,6.22,,5.5611,-27.84%,23.1 M,1.4 M,7.8 M
BENF,0.74,0.10,0.84,,0.685,-22.67%,44.5 M,8.8 M,6.6 M
CTM,1.37,0.07,1.44,,1.235,-19.61%,55.5 M,65.3 M,114.6 M
CAN,1.49,0.04,1.53,,1.395,-12.19%,10.1 M,381.6 M,584.7 M
MNOV,1.40,0.18,1.58,,1.32,-10.08%,12.8 M,42.4 M,64.3 M
MSTU,3.03,0.06,3.09,,2.9798,-9.55%,9.4 M,299.0 M,891.0 M
YGMZ,0.13,0.00,0.13,,0.1224,-6.25%,5.9 M,76.0 M,9.4 M
CHR,0.14,-0.01,0.13,,0.1285,-5.85%,10.0 M,5.0 M,1.6 M
