Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt.Cap.
VYNE,,,0.74,,0.7312,81.23%,22.3 M,28.7 M,24.1 M
ATPC,,,0.18,,0.1594,77.11%,162.0 M,23.7 M,8.0 M
YCBD,,,1.99,,2.02,41.26%,27.3 M,8.7 M,18.0 M
ADTX,,,1.84,,1.88,32.39%,12.2 M,553.8 K,1.1 M
UDMY,,,7.16,,6.7516,25.73%,3.9 M,92.1 M,988.3 M
HUT,,,43.75,,43.80,18.86%,2.2 M,87.2 M,4.7 B
AKAN,,,0.88,,0.8808,18.23%,8.9 M,721.0 K,641.5 K
BEAT,,,4.08,,3.99,15.99%,6.0 M,28.2 M,137.4 M
AZI,,,2.16,,2.11,13.37%,10.8 M,2.1 M,6.8 M
UGRO,,,0.42,,0.399,12.68%,2.9 M,9.3 M,5.1 M
VNRX,,,0.28,,0.272,12.35%,946.4 K,83.0 M,33.4 M
MSOS,,,6.97,,7.01,8.68%,2.1 M,183.7 M,1.3 B
MBRX,,,5.29,,5.07,8.3%,3.4 M,2.0 M,10.3 M
CGC,,,2.01,,1.9781,8.09%,3.2 M,364.8 M,728.8 M
RXRX,,,4.53,,4.4601,6.19%,2.4 M,484.5 M,2.3 B
QS,,,11.77,,11.50,6.09%,1.1 M,511.7 M,6.9 B
