Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt.Cap.
ZVSA,0.65,0.10,0.75,12.29%,0.70,-6.06%,13.2M,4.7M,3.3M
VOR,0.31,0.31,0.62,108.9%,0.5161,-62.24%,133.8M,42.6M,64.5M
ULY,8.21,1.51,9.72,14.74%,8.50,-89.23%,24.0M,1.1M,10.6M
TIGR,9.89,0.98,10.87,3.24%,9.9396,22.26%,36.2M,164.7M,1.9B
SRFM,4.51,1.34,5.85,23.5%,2.56,-28.89%,92.0M,12.3M,49.4M
SONM,1.60,0.09,1.69,9.37%,1.23,-9.82%,75.1M,4.6M,11.3M
RZLV,3.12,0.11,3.23,0.0%,2.65,-2.52%,24.2M,83.1M,694.5M
QXO,21.95,2.24,24.19,1.05%,21.9998,-6.47%,50.5M,252.6M,12.7B
QS,6.04,0.46,6.50,5.13%,5.59,-29.1%,181.3M,475.6M,3.1B
PSTV,0.45,0.07,0.52,0.0%,0.3773,-101.76%,718.5M,16.1M,12.3M
CNDS,1.82,0.09,1.91,1.65%,1.64,-3.14%,38.4M,126.4M,225.4M
NVTS,8.00,0.30,8.30,0.0%,7.13,-2.99%,34.7M,134.5M,1.4B
NAAS,0.87,0.12,0.99,10.29%,0.8399,-9.36%,23.5M,5.6M,5.0M
IBO,1.10,0.03,1.07,0.0%,0.9665,-15.06%,16.3M,11.3M,11.7M
HIMS,45.30,1.89,47.19,2.69%,41.54,-3.26%,65.5M,201.7M,9.3B
GNS,0.84,0.03,0.87,0.0%,0.7092,-1.75%,21.7M,58.0M,45.7M
GCTK,15.51,0.86,16.37,2.51%,7.75,-24.8%,24.0M,472.3K,4.2M

