Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt.Cap.
ATMCW,,,0.17,,0.15,99.71%,36.5 K,0.00,0.00
XCUR,,,11.67,,9.27,73.73%,4.8 M,2.1 M,59.0 M
VOR,,,12.29,,12.09,45.1%,9.3 M,8.1 M,265.8 M
NCPL,,,1.06,,0.9291,41.01%,8.8 M,4.7 M,4.6 M
ATMV,,,10.09,,9.44,20.33%,133.7 K,7.0 M,0.00
GIPR,,,1.16,,1.05,16.67%,917.6 K,4.9 M,5.7 M
SNTI,,,2.89,,2.73,12.97%,157.5 K,13.8 M,71.0 M
TROX,,,4.07,,4.03,7.47%,28.6 K,117.8 M,639.0 M
