Symbol,Signal,Long Delta,Resistance,Major Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
RAPP,42.31,4.77,47.08,0.0,0.0%,39.66,176.18%,5.9M,15.3M,1.4B
XAIR,3.56,1.46,5.02,0.0,26.4%,4.1288,86.82%,60.9M,4.2M,21.6M
HOUR,5.58,1.12,6.70,0.0,8.96%,5.39,47.67%,20.3M,1.8M,189.6M
PT,1.39,0.12,1.51,0.0,0.0%,1.285,35.26%,12.2M,14.9M,20.5M
LDI,3.56,0.28,3.84,0.0,7.58%,3.74,29.41%,9.4M,226.4M,1.2B
QS,10.69,0.50,11.19,0.0,0.0%,9.6645,23.27%,30.8M,481.7M,5.5B
PL,8.23,-0.07,9.19,0.0,0.0%,7.4391,13.92%,13.7M,265.8M,2.3B
OPEN,7.15,0.86,8.01,0.0,11.89%,7.2001,8.27%,71.0M,667.4M,5.3B
ACRV,1.57,0.06,1.63,0.0,0.0%,1.4065,5.75%,8.5M,15.4M,44.2M
HL,9.79,-0.04,10.98,0.0,0.41%,9.44,4.66%,5.0M,660.6M,6.6B
MBOT,3.98,0.11,4.09,0.0,0.0%,3.75,2.46%,13.5M,43.4M,171.0M
ASTS,39.44,3.32,42.76,0.0,2.46%,39.4207,-7.05%,7.0M,233.0M,14.1B
MSTU,5.05,0.20,5.25,0.0,0.0%,4.8787,-7.43%,7.8M,194.5M,948.3M
CDT,0.94,0.26,1.20,0.0,0.0%,0.8721,-26.09%,12.6M,2.7M,2.7M
NFE,1.77,0.69,2.46,0.0,0.0%,1.7599,-28.17%,7.5M,193.6M,479.8M
