Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mk. Cap.
PTLE,0.42,0.02,0.44,,0.443,-137.24%,323.3 M,26.2 M,16.6 M
DENN,6.18,0.48,6.66,,6.168,-50.0%,11.2 M,49.3 M,317.5 M
SCNX,1.02,0.29,1.31,,1.025,-45.04%,88.8 M,12.7 M,16.6 M
MSPR,0.81,0.04,0.85,,0.7414,-44.34%,120.9 M,696.6 K,1.1 M
NFE,1.56,0.37,1.93,,1.635,-38.81%,29.8 M,200.9 M,466.1 M
HTZ,5.86,0.59,6.45,,5.74,-16.3%,12.5 M,125.7 M,1.8 B
VSEE,1.21,0.12,1.33,,1.145,-15.66%,28.8 M,6.9 M,19.5 M
FGL,0.47,0.01,0.48,,0.4522,-10.94%,37.0 M,5.0 M,8.8 M
SAGT,2.25,0.09,2.34,,2.085,-10.34%,16.0 M,3.8 M,26.1 M
ORIS,0.19,-0.01,0.18,,0.1741,-8.97%,65.9 M,12.3 M,3.8 M
SOXS,3.56,0.10,3.66,,3.5685,-9.02%,42.7 M,368.2 M,1.3 B
