Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
YMAB,8.55,-0.08,11.05,,8.5101,103.11%,5.2M,29.4M,385.4M
LOBO,1.06,0.27,1.33,,1.0593,44.47%,50.8M,3.1M,9.1M
AIP,14.30,2.04,16.34,,12.8147,35.61%,10.9M,29.8M,544.0M
STTK,1.08,0.09,1.17,,0.9792,31.84%,52.1M,22.2M,46.9M
LIDR,2.99,0.56,3.55,,2.9811,18.77%,13.5M,18.3M,57.3M
PSTV,0.91,-0.03,1.00,,0.8648,17.01%,17.4M,32.4M,28.3M
CONI,2.84,-0.01,2.97,,2.739,5.75%,5.6M,13.5M,37.1M
AUUD,6.29,-0.05,7.30,,4.95,4.21%,13.4M,614.2K,3.1M
GTI,0.15,-0.01,0.16,,0.1308,-4.17%,3.8M,45.9M,19.4M
IXHL,0.44,0.01,0.45,,0.4149,-5.7%,12.8M,24.9M,12.2M
BTAI,2.35,0.23,2.58,,2.34,-7.87%,3.5M,5.3M,14.2M
PLTD,7.45,0.55,8.00,,7.23,-8.6%,4.7M,7.6M,54.9M
ATCH,0.22,0.01,0.23,,0.1923,-13.22%,3.6M,13.8M,3.0M
LPTX,0.34,0.11,0.45,,0.3107,-13.38%,5.7M,33.0M,12.9M
NVTS,6.50,1.66,8.16,,6.7999,-15.53%,15.7M,134.5M,1.3B
PLTZ,8.95,1.41,10.36,,8.3992,-17.25%,4.7M,2.7M,22.3M
