Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
DRRX,2.01,0.15,2.16,,1.9797,258.19%,15.3M,29.8M,61.2M
SLRX,,,4.53,,1.77,138.83%,32.2M,2.1M,3.8M
SCNI,2.89,2.95,5.84,,3.2699,59.51%,25.8M,989.9K,3.3M
STAI,1.03,0.03,1.06,,0.9579,49.16%,50.3M,24.6M,48.3M
CLDI,0.92,0.27,1.19,,0.8001,45.59%,104.9M,29.7M,25.4M
SISI,0.20,0.10,0.30,,0.194,26.14%,56.5M,15.4M,4.0M
SGD,1.11,0.68,1.79,,1.07,22.16%,27.6M,1.7M,2.2M
SOAR,2.29,0.65,2.94,,2.0512,19.95%,31.5M,1.4M,3.9M
NIVF,0.64,0.16,0.80,,0.5775,11.04%,17.9M,4.3M,2.5M
TNFA,0.18,0.00,0.18,,0.1381,10.48%,163.0M,11.9M,2.0M
NVNI,0.84,-0.03,0.81,,0.7649,11.16%,12.5M,20.5M,69.4M
QH,0.13,0.26,0.39,,0.1181,0.08%,16.3M,88.6M,10.6M
OPEN,2.27,0.30,2.57,,2.1502,-3.11%,17.6M,661.0M,1.6B
MKDW,0.22,0.00,0.22,,0.2001,-3.68%,12.8M,84.0M,28.7M
GTI,0.14,0.01,0.15,,0.1234,-13.71%,10.2M,45.9M,18.3M
IXHL,1.19,,1.22,,0.89,-25.21%,12.2M,24.9M,26.2M
ZOOZ,2.43,3.33,5.76,,2.2298,-36.47%,10.8M,8.9M,27.0M
