timestamp,close,high,low,trade_count,open,volume,vwap
2026-02-02 04:06:00-05:00,334.65,334.79,333.32,1164,333.79,23699,334.248827
2026-02-02 04:27:00-05:00,334.61,335.14,333.77,1030,334.73,19964,334.602176
2026-02-02 04:48:00-05:00,334.73,334.89,334.65,287,334.8,6371,334.80034
2026-02-02 05:09:00-05:00,334.77,335.06,334.67,169,334.67,3568,334.871804
2026-02-02 05:30:00-05:00,333.96,334.81,333.8,453,334.8,10606,334.466011
2026-02-02 05:51:00-05:00,334.28,334.28,333.67,753,333.99,12787,333.978673
2026-02-02 06:12:00-05:00,334.47,334.47,334.01,167,334.01,2884,334.280803
2026-02-02 06:33:00-05:00,334.67,334.87,334.61,368,334.61,9648,334.69052
2026-02-02 06:54:00-05:00,334.97,335.23,334.77,844,334.77,16589,335.015829
2026-02-02 07:15:00-05:00,335.07,335.37,334.77,1403,334.85,31777,335.078425
2026-02-02 07:36:00-05:00,334.77,335.37,334.77,1177,335.06,18732,335.05562
2026-02-02 07:57:00-05:00,334.07,338.61,329.77,14244,334.77,263945,333.450895
2026-02-02 08:18:00-05:00,334.47,334.77,334.12,1320,334.12,25094,334.380889
2026-02-02 08:39:00-05:00,336.14,336.76,334.55,2419,334.6,85442,335.686191
2026-02-02 09:00:00-05:00,336.54,336.96,336.14,4427,336.26,141551,336.516699
2026-02-02 09:21:00-05:00,337.51,339.43,335.38,73427,336.58,3463023,337.102678
2026-02-02 09:42:00-05:00,341.56,341.58,335.95,63704,337.51,2636450,339.093893
2026-02-02 10:03:00-05:00,343.53,344.59,341.07,71929,341.58,2906554,342.912949
2026-02-02 10:24:00-05:00,342.61,343.54,341.4,54879,343.54,1684689,342.229371
