timestamp,close,high,low,trade_count,open,volume,vwap
2026-02-02 04:06:00-05:00,231.88,232.0,229.87,786,230.39,28093,231.228875
2026-02-02 04:27:00-05:00,231.82,232.15,231.48,417,231.82,16781,231.734346
2026-02-02 04:48:00-05:00,232.0,232.21,231.83,369,231.88,11061,231.965498
2026-02-02 05:09:00-05:00,231.0,231.92,231.0,291,231.65,10168,231.426821
2026-02-02 05:30:00-05:00,230.06,230.88,229.87,460,230.88,12751,230.186398
2026-02-02 05:51:00-05:00,230.87,230.87,230.16,273,230.35,9928,230.451627
2026-02-02 06:12:00-05:00,231.5,231.58,230.72,365,230.97,14500,231.111896
2026-02-02 06:33:00-05:00,231.79,232.1,231.49,456,231.49,15131,231.820086
2026-02-02 06:54:00-05:00,232.97,232.98,231.52,1322,232.2,53837,232.393308
2026-02-02 07:15:00-05:00,234.55,234.8,232.81,1449,232.83,53930,233.752994
2026-02-02 07:36:00-05:00,233.57,234.5,233.57,895,234.2,36463,234.068001
2026-02-02 07:57:00-05:00,233.9,234.8,226.62,10601,233.5,322367,231.991898
2026-02-02 08:18:00-05:00,234.9,235.3663,233.3,1936,233.7524,82594,234.562564
2026-02-02 08:39:00-05:00,235.64,235.8317,234.75,1441,234.79,72643,235.098197
2026-02-02 09:00:00-05:00,235.82,236.35,234.76,2629,235.54,113808,235.645424
2026-02-02 09:21:00-05:00,244.43,244.8,235.0,56950,235.8201,4532521,240.838231
2026-02-02 09:42:00-05:00,245.13,245.7897,243.25,53908,244.371,3673801,244.668781
2026-02-02 10:03:00-05:00,249.84,249.93,244.9176,50352,245.15,3725589,247.96507
2026-02-02 10:24:00-05:00,248.265,249.97,247.5603,37277,249.79,2435744,248.662545
