timestamp,close,high,low,trade_count,open,volume,vwap
2026-02-13 04:00:00-05:00,206.64,206.78,205.81,434,206.7,11801,206.368692
2026-02-13 04:21:00-05:00,208.0,208.05,206.76,600,206.89,32059,207.599352
2026-02-13 04:42:00-05:00,208.2,208.56,207.7,671,207.98,41305,208.165666
2026-02-13 05:03:00-05:00,208.68,208.68,208.0,261,208.2,8214,208.322799
2026-02-13 05:24:00-05:00,207.95,208.72,207.85,426,208.57,15536,208.252603
2026-02-13 05:45:00-05:00,207.48,208.19,207.21,642,208.0,22123,207.604633
2026-02-13 06:06:00-05:00,206.7,207.28,206.33,736,207.28,24762,206.720998
2026-02-13 06:27:00-05:00,206.82,207.0,205.58,719,206.78,29952,206.403231
2026-02-13 06:48:00-05:00,206.79,207.15,206.51,601,206.82,24339,206.83481
2026-02-13 07:09:00-05:00,207.0,207.3,206.41,303,206.56,12372,206.885013
2026-02-13 07:30:00-05:00,207.06,208.0,207.06,503,207.24,24409,207.785895
2026-02-13 07:51:00-05:00,206.75,208.7738,204.24,6646,207.2,172989,206.696115
2026-02-13 08:12:00-05:00,208.0,209.031,206.11,1799,206.6,95516,207.775248
2026-02-13 08:33:00-05:00,207.8,208.74,207.2,2169,207.6391,122334,208.131806
2026-02-13 08:54:00-05:00,207.49,208.4,207.0,1975,207.8,91120,207.668058
2026-02-13 09:15:00-05:00,209.975,210.03,203.8801,26591,207.6,2256750,207.071248
2026-02-13 09:36:00-05:00,206.4299,210.05,205.5101,41589,209.975,3075051,207.685248
2026-02-13 09:57:00-05:00,206.26,208.38,205.7001,25564,206.265,1655186,206.956173
2026-02-13 10:18:00-05:00,207.085,209.23,206.2266,24641,206.4,1599109,208.00882
