timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-07 15:16:00+00:00,LGPS,1.66,1.66,1.66,100,1.66,1
2025-07-07 15:19:00+00:00,LGPS,1.64,1.64,1.64,200,1.64,2
2025-07-07 15:20:00+00:00,LGPS,1.63,1.63,1.63,100,1.63,1
2025-07-07 15:21:00+00:00,LGPS,1.65,1.65,1.65,1212,1.65,1
2025-07-07 15:22:00+00:00,LGPS,1.65,1.65,1.65,570,1.65,3
2025-07-07 15:24:00+00:00,LGPS,1.67,1.64,1.67,200,1.655,2
2025-07-07 15:28:00+00:00,LGPS,1.64,1.64,1.64,100,1.64,1
2025-07-07 15:33:00+00:00,LGPS,1.62,1.56,1.58,700,1.584286,7
2025-07-07 15:36:00+00:00,LGPS,1.64,1.64,1.64,100,1.64,1
2025-07-07 15:44:00+00:00,LGPS,1.6,1.6,1.6,100,1.6,1
2025-07-07 15:45:00+00:00,LGPS,1.56,1.55,1.56,1160,1.550862,3
2025-07-07 15:49:00+00:00,LGPS,1.56,1.56,1.56,1525,1.56,3
2025-07-07 15:50:00+00:00,LGPS,1.595,1.595,1.595,191,1.595,1
2025-07-07 15:52:00+00:00,LGPS,1.57,1.57,1.57,100,1.57,1
2025-07-07 15:54:00+00:00,LGPS,1.63,1.62,1.63,400,1.6225,2
2025-07-07 15:55:00+00:00,LGPS,1.635,1.635,1.635,191,1.635,2
2025-07-07 15:59:00+00:00,LGPS,1.59,1.59,1.59,154,1.59,2
2025-07-07 16:00:00+00:00,LGPS,1.6,1.6,1.6,100,1.6,1
2025-07-07 16:09:00+00:00,LGPS,1.63,1.6,1.62,300,1.616667,3
2025-07-07 16:10:00+00:00,LGPS,1.64,1.64,1.64,166,1.64,3
2025-07-07 16:11:00+00:00,LGPS,1.66,1.66,1.66,120,1.66,2
2025-07-07 16:12:00+00:00,LGPS,1.67,1.67,1.67,166,1.67,2
2025-07-07 16:13:00+00:00,LGPS,1.65,1.64,1.64,250,1.645,3
2025-07-07 16:14:00+00:00,LGPS,1.66,1.66,1.66,100,1.66,1
2025-07-07 16:16:00+00:00,LGPS,1.67,1.66,1.67,1203,1.668333,5
2025-07-07 16:18:00+00:00,LGPS,1.68,1.68,1.68,1200,1.68,1
2025-07-07 16:34:00+00:00,LGPS,1.66,1.66,1.66,100,1.66,1
2025-07-07 16:41:00+00:00,LGPS,1.68,1.66,1.68,500,1.67,3
2025-07-07 16:46:00+00:00,LGPS,1.62,1.62,1.62,370,1.62,2
2025-07-07 16:53:00+00:00,LGPS,1.62,1.62,1.62,100,1.62,1
2025-07-07 16:55:00+00:00,LGPS,1.55,1.385,1.4,2273,1.411408,12
2025-07-07 16:56:00+00:00,LGPS,1.355,1.35,1.35,1500,1.353333,3
2025-07-07 16:57:00+00:00,LGPS,1.375,1.375,1.375,750,1.375,5
2025-07-07 16:58:00+00:00,LGPS,1.37,1.355,1.37,1049,1.360789,6
2025-07-07 17:03:00+00:00,LGPS,1.27,1.27,1.27,215,1.27,4
2025-07-07 17:04:00+00:00,LGPS,1.3,1.295,1.295,1062,1.2955,5
2025-07-07 17:05:00+00:00,LGPS,1.3,1.3,1.3,1000,1.3,4
2025-07-07 17:06:00+00:00,LGPS,1.33,1.32,1.32,700,1.322857,4
2025-07-07 17:09:00+00:00,LGPS,1.365,1.365,1.365,1078,1.365,4
2025-07-07 17:10:00+00:00,LGPS,1.37,1.37,1.37,442,1.37,3
2025-07-07 17:17:00+00:00,LGPS,1.415,1.38,1.415,1900,1.391316,7
2025-07-07 17:18:00+00:00,LGPS,1.4,1.4,1.4,500,1.4,2
2025-07-07 17:19:00+00:00,LGPS,1.37,1.37,1.37,1400,1.37,3
2025-07-07 17:22:00+00:00,LGPS,1.38,1.38,1.38,100,1.38,1
2025-07-07 17:23:00+00:00,LGPS,1.41,1.41,1.41,209,1.41,1
2025-07-07 17:24:00+00:00,LGPS,1.425,1.425,1.425,1000,1.425,6
2025-07-07 17:28:00+00:00,LGPS,1.45,1.45,1.45,205,1.45,3
2025-07-07 17:29:00+00:00,LGPS,1.48,1.45,1.48,900,1.453333,2
2025-07-07 17:32:00+00:00,LGPS,1.505,1.505,1.505,100,1.505,1
2025-07-07 17:37:00+00:00,LGPS,1.48,1.44,1.44,2599,1.4496,6
2025-07-07 17:52:00+00:00,LGPS,1.46,1.46,1.46,200,1.46,2
2025-07-07 17:54:00+00:00,LGPS,1.495,1.495,1.495,600,1.495,1
2025-07-07 17:55:00+00:00,LGPS,1.495,1.495,1.495,204,1.495,1
2025-07-07 17:56:00+00:00,LGPS,1.495,1.495,1.495,100,1.495,1
2025-07-07 17:57:00+00:00,LGPS,1.46,1.46,1.46,200,1.46,2
2025-07-07 18:00:00+00:00,LGPS,1.485,1.46,1.46,1215,1.480833,5
2025-07-07 18:01:00+00:00,LGPS,1.53,1.48,1.515,1562,1.514286,7
