symbol,price,volume,percent_change,dollar_volume,day_range,timestamp,trades,avg_volume_5d,avg_range_5d,volume_surge_detected,volume_surge_ratio
IVVD,0.8724,138548,-16.115384615384624,120869.27519999999,0.31289999999999996,2025-08-27T00:00:00-04:00,,498709.6,0.16182000000000002,False,
APPS,4.18,133612,-2.107728337236531,558498.1599999999,0.23500000000000032,2025-08-27T00:00:00-04:00,,106703.0,0.242,False,
AQB,0.898,132808,18.251250987621816,119261.584,0.07889999999999997,2025-08-27T00:00:00-04:00,,26681.6,0.015779999999999995,False,
LAZR,1.84,131000,-0.540540540540541,241040.0,0.08999999999999986,2025-08-27T00:00:00-04:00,,130378.6,0.10099999999999998,False,
NFE,2.6,129278,1.1673151750972859,336122.8,0.20999999999999996,2025-08-27T00:00:00-04:00,,247772.4,0.246,False,
AUTL,1.57,126046,-2.1806853582554466,197892.22,0.050000000000000044,2025-08-27T00:00:00-04:00,,100558.6,0.08799999999999994,False,
ALLR,1.57,122363,9.790209790209799,192109.91,0.2999999999999998,2025-08-27T00:00:00-04:00,,1505516.2,0.24903999999999993,False,
VERI,3.05,117707,4.452054794520544,359006.35,0.34499999999999975,2025-08-27T00:00:00-04:00,,84864.6,0.2419999999999999,False,
MRVI,2.325,115706,-4.123711340206171,269016.45,0.1900000000000004,2025-08-27T00:00:00-04:00,,71705.2,0.1,False,
HCAT,3.69,112635,5.128205128205133,415623.14999999997,0.3900000000000001,2025-08-27T00:00:00-04:00,,73525.2,0.22800000000000012,False,
SVRA,3.29,112190,-0.9036144578313196,369105.1,0.1499999999999999,2025-08-27T00:00:00-04:00,,117272.2,0.18599999999999994,False,
EU,2.275,105817,-3.601694915254236,240733.675,0.08499999999999996,2025-08-27T00:00:00-04:00,,249925.0,0.10600000000000005,False,
CDXS,2.67,105313,1.3282732447817893,281185.71,0.0900000000000003,2025-08-27T00:00:00-04:00,,76179.4,0.13799999999999998,False,
BLDP,2.025,102953,-2.1739130434782576,208479.82499999998,0.050000000000000044,2025-08-27T00:00:00-04:00,,121721.2,0.077,False,
BLNE,1.55,101999,5.442176870748304,158098.45,0.5099999999999998,2025-08-27T00:00:00-04:00,,28814.2,0.17099999999999999,False,
UROY,3.03,101784,-1.3029315960912065,308405.51999999996,0.1299999999999999,2025-08-27T00:00:00-04:00,,175848.0,0.14300000000000007,False,
PROP,2.5,99537,-6.542056074766349,248842.5,0.14500000000000002,2025-08-27T00:00:00-04:00,,112522.6,0.15299999999999994,False,
ALLO,1.155,99343,-0.4310344827586115,114741.16500000001,0.04499999999999993,2025-08-27T00:00:00-04:00,,144222.0,0.07100000000000004,False,
NB,4.64,96858,1.3100436681222623,449421.12,0.6549999999999994,2025-08-27T00:00:00-04:00,,65636.8,0.4099999999999997,False,
AQST,3.84,95718,-1.412066752246474,367557.12,0.29000000000000004,2025-08-27T00:00:00-04:00,,77829.4,0.18800000000000008,False,
MIST,1.765,93110,5.0595238095238075,164339.15,0.07000000000000006,2025-08-27T00:00:00-04:00,,42599.2,0.06100000000000003,False,
TBLA,3.385,91759,1.9578313253012032,310604.21499999997,0.040000000000000036,2025-08-27T00:00:00-04:00,,95195.6,0.07600000000000007,False,
IMAB,4.49,90400,-12.984496124031006,405896.0,0.46999999999999975,2025-08-27T00:00:00-04:00,,105074.0,0.5649999999999997,False,
DNUT,3.595,90017,-3.8770053475935833,323611.115,0.2699999999999996,2025-08-27T00:00:00-04:00,,136845.2,0.2009999999999999,False,
INDI,4.635,88816,0.0,411662.16,0.15500000000000025,2025-08-27T00:00:00-04:00,,106069.6,0.1990000000000002,False,
CRON,2.56,84156,0.5893909626719106,215439.36000000002,0.06999999999999984,2025-08-27T00:00:00-04:00,,150141.8,0.09399999999999994,False,
OSUR,3.34,80611,-4.297994269340984,269240.74,0.20999999999999996,2025-08-27T00:00:00-04:00,,58991.4,0.21099999999999994,False,
IRBT,3.65,80590,-1.8817204301075345,294153.5,0.28500000000000014,2025-08-27T00:00:00-04:00,,42267.4,0.2,False,
SVC,2.725,79313,1.301115241635693,216127.92500000002,0.06000000000000005,2025-08-27T00:00:00-04:00,,52764.6,0.09400000000000013,False,
AIOT,4.81,78314,2.7777777777777755,376690.33999999997,0.1750000000000007,2025-08-27T00:00:00-04:00,,62013.0,0.19300000000000034,False,
ASTL,4.93,76102,-0.8048289738430591,375182.86,0.11000000000000032,2025-08-27T00:00:00-04:00,,89930.0,0.2620000000000001,False,
OMEX,1.92,75856,9.401709401709404,145643.52,0.15999999999999992,2025-08-27T00:00:00-04:00,,55269.8,0.14300000000000002,False,
KITT,0.9766,71642,2.6487281900357367,69965.5772,0.20669999999999988,2025-08-27T00:00:00-04:00,,29708.8,0.08701999999999999,False,
ABUS,3.65,70601,-0.1367989056087522,257693.65,0.07500000000000018,2025-08-27T00:00:00-04:00,,63691.6,0.11500000000000003,False,
LAES,2.735,66970,-3.5273368606701974,183162.94999999998,0.1200000000000001,2025-08-27T00:00:00-04:00,,82899.0,0.12300000000000004,False,
DEVS,2.63,65846,19.27437641723355,173174.97999999998,1.8000000000000003,2025-08-27T00:00:00-04:00,,13431.2,0.41500000000000015,False,
CRBU,1.98,65679,-0.5025125628140708,130044.42,0.19000000000000017,2025-08-27T00:00:00-04:00,,34988.2,0.11499999999999999,False,
HNST,3.975,64691,2.1850899742930583,257146.725,0.10000000000000009,2025-08-27T00:00:00-04:00,,143162.8,0.14900000000000002,False,
ANNX,2.12,63765,-1.3953488372092933,135181.80000000002,0.1200000000000001,2025-08-27T00:00:00-04:00,,58049.6,0.12400000000000003,False,
MBOT,4.05,62857,4.651162790697667,254570.84999999998,0.3250000000000002,2025-08-27T00:00:00-04:00,,118106.0,0.46900000000000003,False,
ABSI,2.54,62838,-0.1964636542239644,159608.52,0.06499999999999995,2025-08-27T00:00:00-04:00,,98939.8,0.10600000000000005,False,
CLNE,2.635,61413,1.5414258188824506,161823.25499999998,0.04499999999999993,2025-08-27T00:00:00-04:00,,53398.0,0.0830000000000001,False,
ARBE,1.4,61254,0.7194244604316554,85755.59999999999,0.07000000000000006,2025-08-27T00:00:00-04:00,,45579.4,0.08000000000000003,False,
MVIS,1.13,61126,1.345291479820619,69072.37999999999,0.029999999999999805,2025-08-27T00:00:00-04:00,,66357.4,0.03299999999999996,False,
FNKO,3.355,60603,7.877813504823155,203323.065,0.2450000000000001,2025-08-27T00:00:00-04:00,,114524.8,0.20700000000000013,False,
BTCS,4.26,59339,-3.071672354948801,252784.13999999998,0.09499999999999975,2025-08-27T00:00:00-04:00,,66616.2,0.3109999999999998,False,
MAPS,1.19,58512,1.2765957446808427,69629.28,0.04500000000000015,2025-08-27T00:00:00-04:00,,22747.2,0.05,False,
OGI,1.67,56295,1.2121212121212133,94012.65,0.06000000000000005,2025-08-27T00:00:00-04:00,,70155.2,0.050999999999999976,False,
BRY,3.235,55677,0.6220839813374812,180115.095,0.10999999999999988,2025-08-27T00:00:00-04:00,,52901.0,0.11999999999999993,False,
HITI,3.61,53793,3.43839541547277,194192.72999999998,0.14000000000000012,2025-08-27T00:00:00-04:00,,61348.2,0.25200000000000006,False,
ACDC,4.16,51475,3.2258064516129004,214136.0,0.2400000000000002,2025-08-27T00:00:00-04:00,,74105.8,0.2520000000000002,False,
DEFT,2.14,51134,-3.1674208144796308,109426.76000000001,0.09499999999999975,2025-08-27T00:00:00-04:00,,102215.4,0.09099999999999983,False,
OVID,1.26,49819,4.132231404958682,62771.94,0.14000000000000012,2025-08-27T00:00:00-04:00,,44093.0,0.10636000000000008,False,
CDLX,1.04,49637,0.0,51622.48,0.08500000000000019,2025-08-27T00:00:00-04:00,,59697.2,0.07124000000000004,False,
MREO,1.75,48080,-0.28490028490027886,84140.0,0.05499999999999994,2025-08-27T00:00:00-04:00,,80579.4,0.05299999999999998,False,
OPK,1.425,48004,2.1505376344086042,68405.7,0.03499999999999992,2025-08-27T00:00:00-04:00,,75705.4,0.03299999999999996,False,
AIFF,2.63,47833,-3.308823529411776,125800.79,0.17499999999999982,2025-08-27T00:00:00-04:00,,242478.4,0.2619999999999999,False,
CMPX,3.28,46312,4.126984126984123,151903.36,0.2150000000000003,2025-08-27T00:00:00-04:00,,56610.6,0.14699999999999996,False,
OCGN,1.045,45756,0.0,47815.02,0.020000000000000018,2025-08-27T00:00:00-04:00,,31892.6,0.03300000000000005,False,
MGNX,1.73,45134,-4.15512465373961,78081.81999999999,0.13000000000000012,2025-08-27T00:00:00-04:00,,42605.4,0.13400000000000006,False,
EGHT,1.905,44433,2.4193548387096735,84644.865,0.040000000000000036,2025-08-27T00:00:00-04:00,,37453.6,0.06999999999999998,False,
OXLC,3.675,44162,-0.6756756756756852,162295.35,0.04999999999999982,2025-08-27T00:00:00-04:00,,175262.4,0.0669999999999999,False,
LPTH,4.8,43882,-2.4390243902439046,210633.6,0.3099999999999996,2025-08-27T00:00:00-04:00,,67709.0,0.4219999999999998,False,
LUCD,1.27,43155,7.172995780590714,54806.85,0.10000000000000009,2025-08-27T00:00:00-04:00,,30540.6,0.06299999999999999,False,
LPSN,1.095,42557,2.3364485981308327,46599.915,0.020000000000000018,2025-08-27T00:00:00-04:00,,57462.8,0.04999999999999991,False,
LAB,1.28,42405,-0.7751937984496131,54278.4,0.09000000000000008,2025-08-27T00:00:00-04:00,,59722.6,0.06600000000000002,False,
GSM,4.24,42077,-3.1963470319634633,178406.48,0.09499999999999975,2025-08-27T00:00:00-04:00,,47511.2,0.13500000000000015,False,
NIU,4.51,41001,-9.072580645161294,184914.50999999998,0.2999999999999998,2025-08-27T00:00:00-04:00,,30464.4,0.22899999999999993,False,
LXRX,1.135,40189,0.0,45614.515,0.02499999999999991,2025-08-27T00:00:00-04:00,,36795.8,0.038999999999999965,False,
CTMX,2.07,39271,2.4752475247524663,81290.96999999999,0.04999999999999982,2025-08-27T00:00:00-04:00,,137618.4,0.12500000000000014,False,
PROK,2.485,38757,4.631578947368416,96311.14499999999,0.1499999999999999,2025-08-27T00:00:00-04:00,,27664.6,0.11500000000000003,False,
CMPS,4.71,38453,-1.1542497376705083,181113.63,0.15500000000000025,2025-08-27T00:00:00-04:00,,94140.6,0.292,False,
CNDT,2.855,38285,0.5281690140845114,109303.675,0.1200000000000001,2025-08-27T00:00:00-04:00,,45620.8,0.125,False,
RMTI,1.47,37732,17.599999999999998,55466.04,0.1299999999999999,2025-08-27T00:00:00-04:00,,37366.0,0.17499999999999996,False,
AVIR,3.6,37645,-1.6393442622950833,135522.0,0.1200000000000001,2025-08-27T00:00:00-04:00,,62718.8,0.14000000000000012,False,
CTKB,4.095,37174,-1.798561151079141,152227.53,0.16999999999999993,2025-08-27T00:00:00-04:00,,45718.6,0.15099999999999988,False,
TNYA,1.105,35472,2.3148148148148064,39196.56,0.04499999999999993,2025-08-27T00:00:00-04:00,,35915.4,0.06600000000000002,False,
PEPG,1.25,34983,-2.343750000000002,43728.75,0.07000000000000006,2025-08-27T00:00:00-04:00,,13991.4,0.051000000000000024,False,
CHRS,1.145,34862,1.3274336283185952,39916.99,0.05499999999999994,2025-08-27T00:00:00-04:00,,51814.8,0.06999999999999998,False,
CDZI,3.67,34241,-0.8108108108108174,125664.47,0.11000000000000032,2025-08-27T00:00:00-04:00,,31953.4,0.1290000000000001,False,
PLCE,4.62,33281,4.761904761904761,153758.22,0.4249999999999998,2025-08-27T00:00:00-04:00,,21875.8,0.24899999999999983,False,
ZNTL,1.82,33153,-1.0869565217391313,60338.46,0.19500000000000006,2025-08-27T00:00:00-04:00,,51576.4,0.19800000000000004,False,
HRTX,1.37,33024,-3.1802120141342707,45242.880000000005,0.05499999999999994,2025-08-27T00:00:00-04:00,,75911.2,0.05499999999999994,False,
LPRO,2.08,32566,-1.8867924528301903,67737.28,0.04999999999999982,2025-08-27T00:00:00-04:00,,52682.6,0.11999999999999997,False,
BMR,3.035,32056,2.0168067226890773,97289.96,0.6200000000000001,2025-08-27T00:00:00-04:00,,7473.0,0.1849999999999999,False,
ALEC,2.39,31699,1.0570824524312858,75760.61,0.15500000000000025,2025-08-27T00:00:00-04:00,,46655.6,0.179,False,
ALMS,4.915,30806,2.8242677824267735,151411.49,0.16999999999999993,2025-08-27T00:00:00-04:00,,26330.8,0.1990000000000002,False,
LASE,4.465,29487,-19.7663971248877,131659.455,1.2200000000000006,2025-08-27T00:00:00-04:00,,31869.6,1.0710000000000002,False,
BYND,2.595,29211,4.008016032064131,75802.54500000001,0.14000000000000012,2025-08-27T00:00:00-04:00,,51142.6,0.1410000000000001,False,
CABA,1.495,28877,-1.644736842105257,43171.115000000005,0.07000000000000006,2025-08-27T00:00:00-04:00,,27949.0,0.071,False,
CRDF,2.18,28729,-1.3574660633484075,62629.22,0.06999999999999984,2025-08-27T00:00:00-04:00,,45611.0,0.083,False,
CCLD,3.71,28407,0.8152173913043425,105389.97,0.23499999999999988,2025-08-27T00:00:00-04:00,,23048.2,0.213,False,
ORGO,4.84,27855,0.41493775933609073,134818.19999999998,0.25,2025-08-27T00:00:00-04:00,,28122.8,0.20999999999999996,False,
BLDE,4.58,27670,0.2188183807439778,126728.6,0.16999999999999993,2025-08-27T00:00:00-04:00,,29645.2,0.15099999999999997,False,
DHC,3.8,27302,1.0638297872340436,103747.59999999999,0.07500000000000018,2025-08-27T00:00:00-04:00,,34735.6,0.12500000000000008,False,
OLPX,1.465,26724,1.0344827586206984,39150.66,0.07499999999999996,2025-08-27T00:00:00-04:00,,45749.2,0.081,False,
BZAI,4.04,26577,4.12371134020619,107371.08,0.3099999999999996,2025-08-27T00:00:00-04:00,,38871.4,0.30399999999999994,False,
OABI,1.615,26467,0.9374999999999939,42744.205,0.06499999999999995,2025-08-27T00:00:00-04:00,,35928.2,0.12999999999999998,False,
OMER,4.255,26442,-2.853881278538813,112510.70999999999,0.19500000000000028,2025-08-27T00:00:00-04:00,,38040.0,0.21799999999999997,False,
CCCC,2.59,25668,0.7782101167315182,66480.12,0.06999999999999984,2025-08-27T00:00:00-04:00,,37810.0,0.13399999999999998,False,
HKPD,1.565,25424,8.680555555555555,39788.56,0.15500000000000003,2025-08-27T00:00:00-04:00,,131335.8,0.308,False,
LRMR,3.895,25288,0.9067357512953406,98496.76,0.14500000000000002,2025-08-27T00:00:00-04:00,,38090.4,0.20800000000000002,False,
NNDM,1.44,24973,1.4084507042253533,35961.119999999995,0.03500000000000014,2025-08-27T00:00:00-04:00,,30724.6,0.04800000000000004,False,
FATE,1.115,24533,0.4504504504504408,27354.295,0.03499999999999992,2025-08-27T00:00:00-04:00,,66118.0,0.06199999999999992,False,
BDTX,2.88,24510,-0.518134715025911,70588.8,0.08000000000000007,2025-08-27T00:00:00-04:00,,42496.4,0.14899999999999994,False,
HYMC,4.18,23705,2.7027027027026884,99086.9,0.16999999999999993,2025-08-27T00:00:00-04:00,,21913.6,0.24099999999999983,False,
EDIT,2.67,23418,-2.1978021978021998,62526.06,0.09999999999999964,2025-08-27T00:00:00-04:00,,59339.0,0.12499999999999982,False,
NCMI,4.32,22859,-0.23094688221708512,98750.88,0.0699999999999994,2025-08-27T00:00:00-04:00,,39513.2,0.17099999999999974,False,
CCG,0.8276,22514,-4.873563218390804,18632.5864,0.12379999999999991,2025-08-27T00:00:00-04:00,,6337.0,0.05471999999999999,False,
ABVE,1.88,22487,0.5347593582887586,42275.56,0.10999999999999988,2025-08-27T00:00:00-04:00,,15230.0,0.12399999999999997,False,
ACRS,1.83,22333,1.3850415512465448,40869.39,0.040000000000000036,2025-08-27T00:00:00-04:00,,30231.4,0.053000000000000116,False,
FLD,3.74,22020,4.1782729805014025,82354.8,0.28500000000000014,2025-08-27T00:00:00-04:00,,25030.6,0.22300000000000003,False,
VTYX,2.515,21660,1.8218623481781346,54474.9,0.07500000000000018,2025-08-27T00:00:00-04:00,,21904.8,0.12200000000000007,False,
ELDN,2.59,21653,-0.7662835249042153,56081.27,0.07500000000000018,2025-08-27T00:00:00-04:00,,29604.4,0.08100000000000004,False,
HAIN,1.805,21302,1.9774011299434981,38450.11,0.06999999999999984,2025-08-27T00:00:00-04:00,,41260.2,0.08699999999999997,False,
TRUE,2.13,21141,7.575757575757572,45030.329999999994,0.1299999999999999,2025-08-27T00:00:00-04:00,,19891.4,0.09599999999999995,False,
PDSB,1.29,20857,0.0,26905.530000000002,0.05500000000000016,2025-08-27T00:00:00-04:00,,32764.2,0.06800000000000006,False,
ADV,1.835,20839,2.5139664804469235,38239.565,0.07500000000000018,2025-08-27T00:00:00-04:00,,39687.0,0.11200000000000006,False,
GUTS,1.0,20662,0.0,20662.0,0.02399999999999991,2025-08-27T00:00:00-04:00,,27425.0,0.03427999999999998,False,
CMRC,4.73,20353,2.9379760609358145,96269.69,0.125,2025-08-27T00:00:00-04:00,,29191.8,0.18900000000000006,False,
LTRX,3.79,20158,3.5519125683060078,76398.82,0.2599999999999998,2025-08-27T00:00:00-04:00,,13759.0,0.19799999999999995,False,
MURA,2.065,19958,0.24271844660193656,41213.27,0.004999999999999893,2025-08-27T00:00:00-04:00,,18226.6,0.013999999999999967,False,
VCIG,0.8365,19747,-11.71503957783641,16518.3655,0.0504,2025-08-27T00:00:00-04:00,,31189.0,0.11398000000000001,False,
BTM,3.85,19733,0.7853403141361323,75972.05,0.10499999999999998,2025-08-27T00:00:00-04:00,,30229.2,0.12200000000000007,False,
XFOR,4.235,19659,-7.532751091703051,83255.865,0.5749999999999993,2025-08-27T00:00:00-04:00,,31143.8,0.6579999999999998,False,
SAVA,2.33,18588,3.0973451327433756,43310.04,0.10499999999999998,2025-08-27T00:00:00-04:00,,16635.2,0.07800000000000003,False,
ERAS,1.585,18117,-0.9375000000000078,28715.445,0.03500000000000014,2025-08-27T00:00:00-04:00,,29334.2,0.06400000000000006,False,
MOGO,1.93,17701,3.763440860215045,34162.93,0.08999999999999986,2025-08-27T00:00:00-04:00,,10776.6,0.07599999999999998,False,
API,3.53,17177,-0.2824858757062212,60634.81,0.04999999999999982,2025-08-27T00:00:00-04:00,,17898.2,0.11299999999999999,False,
GLUE,4.665,16696,-0.42689434364993756,77886.84,0.04999999999999982,2025-08-27T00:00:00-04:00,,16034.6,0.175,False,
DRRX,1.935,16392,0.25906735751295934,31718.52,0.014999999999999902,2025-08-27T00:00:00-04:00,,21668.8,0.019999999999999973,False,
DCGO,1.625,16151,-1.5151515151515098,26245.375,0.04499999999999993,2025-08-27T00:00:00-04:00,,14650.2,0.05899999999999994,False,
UNCY,4.26,16098,0.5903187721369414,68577.48,0.08999999999999986,2025-08-27T00:00:00-04:00,,16086.2,0.16900000000000012,False,
AISP,4.64,15852,-2.7253668763102703,73553.28,0.1349999999999998,2025-08-27T00:00:00-04:00,,10246.6,0.1370000000000001,False,
AMBR,3.88,15836,-3.960396039603964,61443.68,0.5200000000000005,2025-08-27T00:00:00-04:00,,8543.8,0.2880000000000001,False,
HLVX,2.09,15743,-0.47619047619048716,32902.869999999995,0.020000000000000018,2025-08-27T00:00:00-04:00,,24413.0,0.02400000000000002,False,
AMTX,2.58,15719,-2.457466918714554,40555.020000000004,0.08000000000000007,2025-08-27T00:00:00-04:00,,30333.4,0.11200000000000002,False,
WKHS,1.38,15702,-1.7793594306049918,21668.76,0.04999999999999982,2025-08-27T00:00:00-04:00,,17312.6,0.06000000000000005,False,
MNTS,1.43,15482,4.379562043795607,22139.26,0.07000000000000006,2025-08-27T00:00:00-04:00,,19349.6,0.08099999999999996,False,
IRWD,1.265,15439,0.0,19530.335,0.04999999999999982,2025-08-27T00:00:00-04:00,,36815.4,0.08399999999999994,False,
CRDL,1.125,15407,-1.746724890829696,17332.875,0.02499999999999991,2025-08-27T00:00:00-04:00,,16591.4,0.04499999999999997,False,
MXCT,1.405,15256,0.3571428571428654,21434.68,0.03499999999999992,2025-08-27T00:00:00-04:00,,52517.0,0.04599999999999995,False,
