timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-09 09:30:00,EVOK,9.2,8.47,9.0,3041,8.7706,42
2025-07-09 09:31:00,EVOK,9.26,8.65,8.71,6088,8.877308,111
2025-07-09 09:32:00,EVOK,8.9,7.83,8.23,9014,8.20077,144
2025-07-09 09:33:00,EVOK,8.24,8.0,8.06,3529,8.111458,50
2025-07-09 09:34:00,EVOK,8.36,7.81,8.015,3769,8.115385,51
2025-07-09 09:35:00,EVOK,8.27,8.01,8.27,1337,8.139375,21
2025-07-09 09:36:00,EVOK,8.93,8.395,8.7,7075,8.702098,95
2025-07-09 09:37:00,EVOK,9.12,8.525,8.59,8358,8.747232,114
2025-07-09 09:38:00,EVOK,9.815,9.01,9.45,14363,9.497314,167
2025-07-09 09:39:00,EVOK,9.68,8.95,9.12,4858,9.316572,79
2025-07-09 09:40:00,EVOK,9.08,9.08,9.08,221,9.08,8
2025-07-09 09:41:00,EVOK,9.27,8.83,9.08,1995,9.053956,23
2025-07-09 09:42:00,EVOK,9.24,8.86,8.86,870,9.131429,12
2025-07-09 09:43:00,EVOK,9.09,7.71,7.96,4085,8.41625,60
2025-07-09 09:44:00,EVOK,8.24,7.96,7.96,2154,8.122353,29
2025-07-09 09:45:00,EVOK,7.87,7.52,7.66,3355,7.642551,42
2025-07-09 10:02:00,EVOK,7.52,7.37,7.5,687,7.476522,13
2025-07-09 10:03:00,EVOK,7.88,7.88,7.88,200,7.88,1
2025-07-09 10:04:00,EVOK,7.94,7.61,7.74,4128,7.815208,62
2025-07-09 10:05:00,EVOK,7.7,7.65,7.69,1263,7.68,32
2025-07-09 10:06:00,EVOK,7.51,6.89,6.93,1866,7.112308,29
2025-07-09 10:07:00,EVOK,7.15,6.94,6.94,1000,7.072,8
2025-07-09 10:08:00,EVOK,6.98,6.91,6.975,1122,6.955833,16
2025-07-09 10:09:00,EVOK,7.03,6.94,7.01,1972,6.990455,27
2025-07-09 10:10:00,EVOK,7.18,6.92,7.18,1198,7.012222,15
2025-07-09 10:11:00,EVOK,7.275,7.15,7.15,865,7.228529,9
2025-07-09 10:12:00,EVOK,7.21,7.09,7.09,794,7.141429,8
