timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-09 09:30:00,CLDI,0.9201,0.87,0.92,31207,0.913851,48
2025-07-09 09:31:00,CLDI,0.9357,0.82,0.8329,51152,0.904143,88
2025-07-09 09:32:00,CLDI,0.8499,0.8297,0.835,22484,0.841278,52
2025-07-09 09:33:00,CLDI,0.87,0.8331,0.87,4661,0.861627,15
2025-07-09 09:34:00,CLDI,0.87,0.82,0.82,18800,0.843388,26
2025-07-09 09:35:00,CLDI,0.82,0.7954,0.8102,49101,0.804417,68
2025-07-09 09:36:00,CLDI,0.8063,0.7546,0.7727,53608,0.772144,142
2025-07-09 09:37:00,CLDI,0.7798,0.7528,0.7798,12463,0.757713,20
2025-07-09 09:38:00,CLDI,0.775,0.76,0.7603,2474,0.763122,14
2025-07-09 09:39:00,CLDI,0.8,0.7551,0.8,8212,0.774041,21
2025-07-09 09:40:00,CLDI,0.8021,0.794,0.794,8977,0.799204,20
2025-07-09 09:41:00,CLDI,0.8,0.7882,0.79,11615,0.796693,19
2025-07-09 09:42:00,CLDI,0.79,0.7873,0.7873,495,0.78802,6
2025-07-09 09:43:00,CLDI,0.79,0.77,0.787,6366,0.783013,13
2025-07-09 09:44:00,CLDI,0.8233,0.79,0.8233,23199,0.796931,33
2025-07-09 09:45:00,CLDI,0.82,0.8064,0.8064,6592,0.813708,13
2025-07-09 10:02:00,CLDI,0.91,0.818,0.8637,46602,0.863374,93
2025-07-09 10:03:00,CLDI,0.8623,0.8366,0.846,12494,0.852241,27
2025-07-09 10:04:00,CLDI,0.8573,0.8468,0.8573,5853,0.855676,17
2025-07-09 10:05:00,CLDI,0.8744,0.8317,0.8735,12247,0.848443,38
2025-07-09 10:06:00,CLDI,0.95,0.8724,0.9497,30465,0.926767,79
2025-07-09 10:07:00,CLDI,0.98,0.9397,0.9397,71973,0.960332,137
2025-07-09 10:08:00,CLDI,0.97,0.9154,0.948,16114,0.947401,43
2025-07-09 10:09:00,CLDI,1.0,0.9484,1.0,52764,0.977919,83
2025-07-09 10:10:00,CLDI,1.1,0.9783,1.1,78538,1.050036,120
