timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-08 13:30:00+00:00,PROK,1.39,1.28,1.39,7344,1.330892,34
2025-07-08 13:31:00+00:00,PROK,1.385,1.33,1.385,30281,1.368068,135
2025-07-08 13:32:00+00:00,PROK,1.38,1.31,1.335,73092,1.347442,130
2025-07-08 13:33:00+00:00,PROK,1.335,1.2,1.22,6166,1.22051,44
2025-07-08 13:34:00+00:00,PROK,1.245,1.19,1.205,28222,1.208366,122
2025-07-08 13:35:00+00:00,PROK,1.265,1.175,1.265,41930,1.248177,205
2025-07-08 13:36:00+00:00,PROK,1.325,1.24,1.325,60163,1.282962,133
2025-07-08 13:37:00+00:00,PROK,1.355,1.285,1.355,27199,1.320889,89
2025-07-08 13:38:00+00:00,PROK,1.365,1.28,1.325,55988,1.312529,143
2025-07-08 13:39:00+00:00,PROK,1.315,1.235,1.275,41591,1.270328,82
2025-07-08 13:40:00+00:00,PROK,1.27,1.165,1.21,39964,1.198469,122
